org_code,name,national_grouping,high_level_health_geography,address_1,address_2,address_3,address_4,address_5,postcode,status,lat,long
R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,Y62,QOP,COBBETT HOUSE,OXFORD ROAD,NA,MANCHESTER,NA,M13 9WL,open,53.46243608268133,-2.227711023436878
R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,Y63,QHM,SUNDERLAND ROYAL HOSPITAL,KAYLL ROAD,NA,SUNDERLAND,NA,SR4 7TP,open,54.90220615661935,-1.4103133530240632
R0C,PROJECT NIGHTINGALE NHS TRUST,Y56,Q71,ROYAL VICTORIA DOCK,1 WESTERN GATEWAY,NA,LONDON,NA,E16 1XL,closed,51.50808199660908,0.0266905136043073
R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,Y58,QVV,MANAGEMENT OFFICES,POOLE HOSPITAL,LONGFLEET ROAD,POOLE,NA,BH15 2JB,open,50.72124094544613,-1.973439834801787
R1A,HEREFORDSHIRE AND WORCESTERSHIRE HEALTH AND CARE NHS TRUST,Y60,QGH,UNIT 2 KINGS COURT,CHARLES HASTINGS WAY,NA,WORCESTER,NA,WR5 1JR,open,52.192183807206895,-2.179045491759029
R1C,SOLENT NHS TRUST,Y59,QRL,SOLENT NHS TRUST HEADQUARTERS,HIGHPOINT VENUE,BURSLEDON ROAD,SOUTHAMPTON,NA,SO19 8BR,open,50.901687489735544,-1.3308598482947636
R1D,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,Y60,QOC,WILLIAM FARR HOUSE,MYTTON OAK ROAD,NA,SHREWSBURY,NA,SY3 8XL,open,52.70584425496085,-2.7893661959123395
R1F,ISLE OF WIGHT NHS TRUST,Y59,QRL,ST MARYS HOSPITAL,PARKHURST ROAD,NA,NEWPORT,NA,PO30 5TG,open,50.7119191595387,-1.301137390665846
R1H,BARTS HEALTH NHS TRUST,Y56,QMF,THE ROYAL LONDON HOSPITAL,80 NEWARK STREET,NA,LONDON,NA,E1 2ES,open,51.51716682803194,-0.05604974958991492
R1J,GLOUCESTERSHIRE CARE SERVICES NHS TRUST,Y58,Q86,EDWARD JENNER COURT,1010 PIONEER AVENUE,"GLOUCESTER BUSINESS PK, BROCKWORTH",GLOUCESTER,GLOUCESTERSHIRE,GL3 4AW,closed,51.84710184108207,-2.176463255534516
R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,Y56,QRV,NORTHWICK PARK HOSPITAL,WATFORD ROAD,NA,HARROW,NA,HA1 3UJ,open,51.57528981577628,-0.3216195301985971
R1L,ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,Y61,QH8,THE LODGE,LODGE APPROACH,RUNWELL,WICKFORD,NA,SS11 7XX,open,51.631011324375244,0.5394189858599668
RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,Y59,QXU,EGERTON ROAD,NA,NA,GUILDFORD,NA,GU2 7XX,open,51.24132766139913,-0.6089567881867901
RA3,WESTON AREA HEALTH NHS TRUST,Y58,Q86,WESTON GENERAL HOSPITAL,GRANGE ROAD,UPHILL,WESTON-SUPER-MARE,NA,BS23 4TQ,closed,51.32199414145652,-2.972039765967958
RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,Y58,QSL,YEOVIL DISTRICT HOSPITAL,HIGHER KINGSTON,NA,YEOVIL,NA,BA21 4AT,open,50.94470923637622,-2.6345084470314575
