org_code,name,attendances_type_1,attendances_type_2,attendences_type_3,attendences_total,perc_4_hours_or_less_type_1,perc_4_hours_or_less_type_2,perc_4_hours_or_less_type_3,perc_4_hours_or_less_all,num_patients_more_4_hours_from_decision_to_admit_to_admission,num_patients_more_12_hours_from_decision_to_admit_to_admission
RC9,Bedfordshire Hospitals NHS Foundation Trust,10490,0,2835,13325,NA,NA,NA,NA,83,0
RGT,Cambridge University Hospitals NHS Foundation Trust,6320,0,1613,7933,NA,NA,NA,NA,643,32
NQ108,Clacton Hospital,0,0,1321,1321,NA,NA,0.9992429977289932,0.9992429977289932,1,0
RWH,East And North Hertfordshire NHS Trust,6264,0,2808,9072,0.6928480204342273,NA,0.9996438746438746,0.7878086419753086,209,0
RDE,East Suffolk And North Essex NHS Foundation Trust,9321,0,3209,12530,0.8330651217680506,NA,0.9968837644125896,0.8750199521149242,215,0
NQ106,Fryatt Hospital,0,0,109,109,NA,NA,1,1,0,0
RY4,Hertfordshire Community NHS Trust,0,0,429,429,NA,NA,0.9953379953379954,0.9953379953379954,0,0
DT301,Herts Urgent Care (Ascots Lane),0,0,992,992,NA,NA,1,1,0,0
RGP,James Paget University Hospitals NHS Foundation Trust,4131,0,18,4149,0.7688211086903898,NA,0.6666666666666666,0.7683779223909376,267,6
RAJ,Mid And South Essex NHS Foundation Trust,19138,0,1504,20642,0.9003553140349044,NA,0.9827127659574468,0.9063559732584052,272,0
RD8,Milton Keynes University Hospital NHS Foundation Trust,5256,0,2389,7645,0.8070776255707762,NA,1,0.8673642903858731,135,0
RM1,Norfolk And Norwich University Hospitals NHS Foundation Trust,7650,0,2981,10631,0.6890196078431372,NA,1,0.7762204872542564,543,7
RGN,North West Anglia NHS Foundation Trust,9933,0,0,9933,0.7680459075807913,NA,NA,0.7680459075807913,319,6
Y02428,Putnoe Medical Centre Walk In Centre,0,0,333,333,NA,NA,1,1,0,0
RQW,The Princess Alexandra Hospital NHS Trust,6155,0,0,6155,0.708204711616572,NA,NA,0.708204711616572,584,33
RCX,"The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust",4296,0,0,4296,0.8347299813780261,NA,NA,0.8347299813780261,178,2
RWG,West Hertfordshire Hospitals NHS Trust,4746,0,3943,8689,0.6154656552886641,NA,0.9984783160030434,0.7892737944527564,489,0
RGR,West Suffolk NHS Foundation Trust,4305,0,203,4508,NA,NA,NA,NA,88,0
RF4,"Barking, Havering And Redbridge University Hospitals NHS Trust",8642,404,6217,15263,0.5045128442490164,0.9975247524752475,0.9769985523564421,0.7100176898381707,95,33
R1H,Barts Health NHS Trust,15882,782,8823,25487,0.7450572975695756,0.9833759590792839,0.9946730137141562,0.8387805547926394,1941,11
AD913,Beckenham Beacon Ucc,0,0,2112,2112,NA,NA,1,1,0,0
RYX,Central London Community Healthcare NHS Trust,0,0,1409,1409,NA,NA,1,1,0,0
RQM,Chelsea And Westminster Hospital NHS Foundation Trust,10944,0,5079,16023,NA,NA,NA,NA,285,0
RJ6,Croydon Health Services NHS Trust,7872,0,3391,11263,0.7920477642276422,NA,1,0.8546568409837522,543,8
RVR,Epsom And St Helier University Hospitals NHS Trust,8267,233,163,8663,0.865973146244103,1,1,0.872099734503059,519,5
