org_code,ambulance_service,count_incidents,total_hours,mean_min_sec,centile_90th_min_sec,category
RX9,East Midlands,5048,600.3547222222222,07:08,12:35,cat1
RYC,East of England,5232,587.6066666666667,06:44,12:25,cat1
R1F,Isle of Wight,101,12.78888888888889,07:36,13:37,cat1
RRU,London,5827,577.4430555555556,05:57,10:01,cat1
RX6,North East,2166,240.9575,06:40,11:28,cat1
RX7,North West,7437,891.5447222222223,07:12,12:10,cat1
RYE,South Central,3648,352.69916666666666,05:48,10:38,cat1
RYD,South East Coast,3417,430.4194444444445,07:33,13:55,cat1
RYF,South Western,6264,779.3658333333333,07:28,13:45,cat1
RYA,West Midlands,5807,636.6883333333334,06:35,11:35,cat1
RX8,Yorkshire,4284,508.35805555555555,07:07,12:10,cat1
RX9,East Midlands,2966,754.7552777777778,15:16,34:56,cat1t
RYC,East of England,3071,356.46500000000003,06:58,12:55,cat1t
R1F,Isle of Wight,63,8.435,08:02,14:20,cat1t
RRU,London,3773,519.1025000000001,08:15,13:52,cat1t
RX6,North East,1230,158.70361111111112,07:44,14:07,cat1t
RX7,North West,4902,725.7288888888888,08:53,15:30,cat1t
RYE,South Central,2078,263.77722222222224,07:37,14:24,cat1t
RYD,South East Coast,2042,306.89500000000004,09:01,16:36,cat1t
RYF,South Western,3557,512.9791666666666,08:39,16:58,cat1t
RYA,West Midlands,3254,410.78694444444443,07:34,13:37,cat1t
RX8,Yorkshire,2802,383.70250000000004,08:13,14:24,cat1t
RX9,East Midlands,35193,13740.631388888889,23:26,47:09,cat2
RYC,East of England,38445,11738.693611111112,18:19,36:47,cat2
R1F,Isle of Wight,846,262.3483333333333,18:36,36:43,cat2
RRU,London,51192,9970.527777777777,11:41,20:53,cat2
RX6,North East,17745,7703.182222222223,26:03,52:27,cat2
RX7,North West,44555,15648.480833333333,21:04,42:39,cat2
RYE,South Central,20125,4186.810833333333,12:29,23:30,cat2
RYD,South East Coast,27302,7651.105833333333,16:49,31:09,cat2
RYF,South Western,34278,13844.25,24:14,48:29,cat2
RYA,West Midlands,39166,7846.284722222222,12:01,21:51,cat2
RX8,Yorkshire,33982,12081.618611111111,21:20,44:40,cat2
RX9,East Midlands,12411,13672.150833333335,06:06,42:54,cat3
RYC,East of England,12908,9333.539166666666,43:23,43:15,cat3
R1F,Isle of Wight,674,571.7497222222222,50:54,08:55,cat3
RRU,London,21007,9933.4125,28:22,01:59,cat3
RX6,North East,6876,8077.500277777778,10:29,51:24,cat3
RX7,North West,17110,14218.523333333334,49:52,50:45,cat3
RYE,South Central,13950,8458.241666666667,36:23,18:50,cat3
RYD,South East Coast,19607,17671.67222222222,54:05,01:53,cat3
RYF,South Western,16289,16114.680277777778,59:21,20:28,cat3
RYA,West Midlands,29941,12518.604722222222,25:05,52:12,cat3
RX8,Yorkshire,11927,11241.431944444445,56:33,19:17,cat3
RX9,East Midlands,128,159.50027777777777,14:46,03:18,cat4
RYC,East of England,378,416.2980555555556,06:05,30:47,cat4
R1F,Isle of Wight,48,36.59666666666667,45:45,43:15,cat4
RRU,London,987,994.8769444444445,00:29,19:19,cat4
RX6,North East,445,534.3697222222222,12:03,52:04,cat4
RX7,North West,2074,3753.8680555555557,48:36,30:10,cat4
RYE,South Central,1073,851.2869444444444,47:36,45:24,cat4
RYD,South East Coast,370,446.3719444444444,12:23,44:51,cat4
RYF,South Western,350,486.75,23:27,29:02,cat4
RYA,West Midlands,1914,1131.1433333333334,35:28,17:55,cat4
RX8,Yorkshire,218,345.7872222222222,35:10,02:22,cat4
