org_code,standard,total_treated,within_standard,breaches
AQK,2 week wait,42,41,1
AQK,31 Days,14,14,0
AQK,62 Days,10,10,0
AQK,62 Days (Upgrade),1,1,0
NCN,2 week wait,108,87,21
NCN,31 Days,56,50,6
NCN,31 Days Sub (Surgery),15,11,4
NCN,62 Days,28,22,6
NDA,62 Days (Screening),9.5,9.5,0
NQT,2 week wait,38,37,1
NQT,31 Days,4,4,0
NQT,62 Days,2,2,0
NTP,62 Days (Upgrade),0.5,0.5,0
NV1,2 week wait,67,49,18
NV1,62 Days,2,1,1
NV1,62 Days (Screening),11,11,0
NV1,62 Days (Upgrade),0.5,0.5,0
NVM,2 week wait,20,20,0
NVM,31 Days,26,22,4
NVM,62 Days,12,10,2
NVM,62 Days (Upgrade),3.5,2.5,1
NYG,2 week wait,6,6,0
NYG,31 Days,4,4,0
NYG,62 Days,10,10,0
NYG,62 Days (Upgrade),2.5,2.5,0
NYT,2 week wait,26,26,0
NYT,31 Days,2,2,0
NYT,31 Days Sub (Surgery),1,1,0
NYT,62 Days,2,2,0
R0A,2 week wait,1100,917,183
R0A,2WW Breast,70,53,17
R0A,31 Days,558,518,40
R0A,31 Days Sub (Drugs),8,8,0
R0A,31 Days Sub (Surgery),46,42,4
R0A,62 Days,254,163,91
R0A,62 Days (Screening),29,25,4
R0A,62 Days (Upgrade),59.5,42,17.5
R0B,2 week wait,495,458,37
R0B,31 Days,344,344,0
R0B,31 Days Sub (Drugs),69,68,1
R0B,31 Days Sub (Surgery),12,12,0
R0B,62 Days,211,174,37
R0B,62 Days (Screening),2.5,2.5,0
R0B,62 Days (Upgrade),14,12,2
R1A,31 Days Sub (Drugs),1,1,0
R1F,2 week wait,173,151,22
R1F,2WW Breast,12,11,1
R1F,31 Days,138,138,0
R1F,31 Days Sub (Drugs),35,35,0
R1F,31 Days Sub (Radio),2,2,0
R1F,31 Days Sub (Surgery),16,14,2
R1F,62 Days,75,52,23
R1F,62 Days (Screening),6,6,0
R1F,62 Days (Upgrade),5,5,0
R1H,2 week wait,1239,1058,181
R1H,2WW Breast,58,32,26
R1H,31 Days,478,474,4
R1H,31 Days Sub (Drugs),41,41,0
R1H,31 Days Sub (Radio),120,117,3
R1H,31 Days Sub (Surgery),38,38,0
R1H,62 Days,194,167,27
R1H,62 Days (Screening),17.5,14,3.5
R1H,62 Days (Upgrade),44.5,38,6.5
R1K,2 week wait,720,638,82
R1K,2WW Breast,67,48,19
R1K,31 Days,178,176,2
R1K,31 Days Sub (Drugs),7,6,1
R1K,31 Days Sub (Surgery),8,8,0
R1K,62 Days,138,82,56
R1K,62 Days (Screening),8,6,2
R1K,62 Days (Upgrade),23,21,2
RA2,2 week wait,292,273,19
RA2,2WW Breast,43,38,5
RA2,31 Days,376,360,16
RA2,31 Days Sub (Drugs),143,142,1
RA2,31 Days Sub (Radio),172,169,3
