org_code,name,gp_referrals_made_all,other_referrals_made_all,gp_referrals_made_specific_acute,other_referrals_made_specific_acute
7A1,Betsi Cadwaladr University LHB,8,0,7,0
DX1,The New Foscote Hospital Ltd,48,0,0,0
NLG,Communitas Clinics,77,0,77,0
NQV,Bromley Healthcare,167,264,167,264
NT314,Spire London East,920,0,920,0
NT3X3,Spire St Anthony's Hospital,425,0,425,0
NT405,BMI - Bishops Wood,163,0,163,0
NT406,BMI - The Blackheath Hospital,413,8,413,8
NT409,BMI - Chelsfield Park Hospital,246,0,246,0
NT411,BMI - The Clementine Churchill Hospital,474,221,474,221
NT416,BMI - Hendon Hospital,200,52,200,52
NT421,BMI - The Kings Oak Hospital,434,3,434,3
NT422,BMI - The London Independent Hospital,777,10,777,10
NT436,BMI - Shirley Oaks Hospital,294,5,294,5
NT437,BMI - The Sloane Hospital,220,0,220,0
NT451,BMI The Cavell Hospital,317,82,317,82
NTP15,North East London Treatment Centre Care UK,1333,0,1333,0
NVC0M,West Valley Hospital,81,0,81,0
NYW02,Aspen - Parkside Hospital,355,0,355,0
NYW03,Aspen - Highgate Hospital,632,0,632,0
R1H,Barts Health NHS Trust,16431,10680,14787,5664
R1K,London North West University Healthcare NHS Trust,12716,10635,12715,10635
RAL,Royal Free London NHS Foundation Trust,9353,15023,9253,14305
RAN,Royal National Orthopaedic Hospital NHS Trust,833,1099,827,1055
RAP,North Middlesex University Hospital NHS Trust,3715,2704,3624,2020
RAS,The Hillingdon Hospitals NHS Foundation Trust,3317,2245,3253,2138
RAT,North East London NHS Foundation Trust,238,834,238,824
RAX,Kingston Hospital NHS Foundation Trust,6659,5184,6157,4227
RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",9088,8908,8511,7927
RJ1,Guy's and St Thomas' NHS Foundation Trust,10439,13734,10430,12676
RJ2,Lewisham and Greenwich NHS Trust,10761,8186,10468,7051
RJ6,Croydon Health Services NHS Trust,7431,6949,7317,6431
RJ7,St George's University Hospitals NHS Foundation Trust,10004,8781,9962,8635
RJZ,King's College Hospital NHS Foundation Trust,15018,8256,14839,7959
RKE,Whittington Health NHS Trust,4236,3066,4210,3009
RP4,Great Ormond Street Hospital For Children NHS Foundation Trust,514,2555,507,2245
RP6,Moorfields Eye Hospital NHS Foundation Trust,3935,2606,3935,2606
RPG,Oxleas NHS Foundation Trust,43,314,0,0
RPY,The Royal Marsden NHS Foundation Trust,1255,931,1255,931
RQM,Chelsea and Westminster Hospital NHS Foundation Trust,9527,8064,9073,7795
RQX,Homerton University Hospital NHS Foundation Trust,7042,3193,6825,3193
RQY,South West London and St George's Mental Health NHS Trust,1146,2745,0,0
RRV,University College London Hospitals NHS Foundation Trust,9147,11777,6948,7422
RV3,Central and North West London NHS Foundation Trust,143,188,0,0
RVR,Epsom and St Helier University Hospitals NHS Trust,7713,1419,7709,1417
RWK,East London NHS Foundation Trust,454,548,0,0
RYJ,Imperial College Healthcare NHS Trust,9137,13918,8941,12894
AAH,Tetbury Hospital Trust Ltd,637,0,637,0
AXG,Wiltshire Health & Care,890,48,890,48
NEJ01,Hand To Elbow Clinic (Bath),3,3,3,3
NQT5K,St Martins Hospital,341,80,301,29
NR5,Livewell Southwest,14,20,14,20
NT206,"Nuffield Health, Bristol Hospital (Chesterfield)",102,0,102,0
NT211,"Nuffield Health, Cheltenham Hospital",88,0,0,0
NT215,"Nuffield Health, Exeter Hospital",309,49,0,0
NT233,"Nuffield Health, Plymouth Hospital",25,0,25,0
NT238,"Nuffield Health, Taunton Hospital",0,0,0,0
NT302,Spire Bristol Hospital,371,0,371,0
NT402,BMI - Bath Clinic,268,28,268,28
NT419,BMI - The Harbour Hospital,0,12,0,12
NT430,BMI - The Ridgeway Hospital,220,3,220,3
NT443,BMI - The Winterbourne Hospital,31,10,31,10
NTPH1,Shepton Mallet NHS Treatment Centre,319,267,319,267
NTPH2,Emersons Green NHS Treatment Centre,627,616,627,616
NTPH3,Devizes NHS Treatment Centre,292,245,292,245
NTPH5,Peninsula NHS Treatment Centre,234,210,234,210
NV302,Circle Bath Hospital,418,0,418,0
NVC04,Duchy Hospital,151,0,151,0
NVC08,Mount Stuart Hospital,143,0,143,0
NVC09,New Hall Hospital,83,0,83,0
NVC22,Winfield Hospital,97,0,97,0
NXP,Independent Health Group,421,0,421,0
R0D,University Hospitals Dorset NHS Foundation Trust,9669,6235,9604,5972
RA4,Yeovil District Hospital NHS Foundation Trust,2521,1693,2507,1554
RA7,University Hospitals Bristol and Weston NHS Foundation Trust,8199,12190,8083,9265
RA9,Torbay and South Devon NHS Foundation Trust,4752,4455,4744,4161
RBD,Dorset County Hospital NHS Foundation Trust,3145,1855,3145,1844
RBZ,Northern Devon Healthcare NHS Trust,2387,1085,2387,1085
RD1,Royal United Hospitals Bath NHS Foundation Trust,5581,6044,5539,6044
RDY,Dorset Healthcare University NHS Foundation Trust,0,0,0,0
REF,Royal Cornwall Hospitals NHS Trust,8793,4987,8725,4689
RH5,Somerset NHS Foundation Trust,5029,2076,5027,1850
RH8,Royal Devon and Exeter NHS Foundation Trust,7440,3078,7296,2831
