org_code,name,rtt_type,count_wait_more_18_weeks,count_wait_more_52_weeks,perc_wait_more_18_weeks,perc_wait_more_52_weeks,count_total
A0C5S,SPAMEDICA GLOUCESTER,Completed Pathways For Admitted Patients,0,0,0,0,4
A0C5S,SPAMEDICA GLOUCESTER,Completed Pathways For Non-Admitted Patients,0,0,0,0,5
A0C5S,SPAMEDICA GLOUCESTER,Incomplete Pathways,0,0,0,0,35
A0C5S,SPAMEDICA GLOUCESTER,Incomplete Pathways with DTA,0,0,0,0,12
A0C5S,SPAMEDICA GLOUCESTER,New RTT Periods - All Patients,0,0,0,0,23
AAH,TETBURY HOSPITAL TRUST LTD,Completed Pathways For Admitted Patients,69,3,0.6509433962264151,0.02830188679245283,106
AAH,TETBURY HOSPITAL TRUST LTD,Completed Pathways For Non-Admitted Patients,14,0,0.07567567567567568,0,185
AAH,TETBURY HOSPITAL TRUST LTD,Incomplete Pathways,21,2,0.03245749613601236,0.0030911901081916537,647
AAH,TETBURY HOSPITAL TRUST LTD,Incomplete Pathways with DTA,5,0,0.029069767441860465,0,172
AAH,TETBURY HOSPITAL TRUST LTD,New RTT Periods - All Patients,0,0,0,0,394
AAV02,COMMUNITY HEALTH AND EYECARE LIMITED (PRESTON),Completed Pathways For Non-Admitted Patients,0,0,0,0,14
AAV02,COMMUNITY HEALTH AND EYECARE LIMITED (PRESTON),Incomplete Pathways,0,0,0,0,15
AAV02,COMMUNITY HEALTH AND EYECARE LIMITED (PRESTON),New RTT Periods - All Patients,0,0,0,0,12
ACG07,NEWMEDICA COMMUNITY OPHTHALMOLOGY - LEICESTERSHIRE - LEICESTER (STONEYGATE EYE HOSPITAL),Completed Pathways For Admitted Patients,0,0,0,0,167
ACG07,NEWMEDICA COMMUNITY OPHTHALMOLOGY - LEICESTERSHIRE - LEICESTER (STONEYGATE EYE HOSPITAL),Completed Pathways For Non-Admitted Patients,0,0,0,0,89
ACG07,NEWMEDICA COMMUNITY OPHTHALMOLOGY - LEICESTERSHIRE - LEICESTER (STONEYGATE EYE HOSPITAL),Incomplete Pathways,0,0,0,0,268
ACG07,NEWMEDICA COMMUNITY OPHTHALMOLOGY - LEICESTERSHIRE - LEICESTER (STONEYGATE EYE HOSPITAL),Incomplete Pathways with DTA,0,0,0,0,227
ACG07,NEWMEDICA COMMUNITY OPHTHALMOLOGY - LEICESTERSHIRE - LEICESTER (STONEYGATE EYE HOSPITAL),New RTT Periods - All Patients,0,0,0,0,143
ACG08,NEWMEDICA OPHTHALMOLOGY - NUNEATON - CAMP HILL - GP LED HEALTH CENTRE,Completed Pathways For Admitted Patients,0,0,0,0,26
ACG08,NEWMEDICA OPHTHALMOLOGY - NUNEATON - CAMP HILL - GP LED HEALTH CENTRE,Incomplete Pathways,0,0,0,0,9
