provider_code,total_attendances_more_4_hours,perc_4_hours_or_less_type_1,perc_4_hours_or_less_all,num_patients_more_4_hours_from_decision_to_admit_to_admission,num_patients_more_12_hours_from_decision_to_admit_to_admission
RC9,NA,NA,NA,111,0
RGT,NA,NA,NA,862,178
NQ108,1,NA,0.9993674889310563,1,1
RWH,2375,0.6697745616476483,0.7817697326104934,335,2
RDE,2362,0.7902651717387436,0.8435450751804995,493,0
NQ106,0,NA,1,0,0
RY4,0,NA,1,0,0
DT301,0,NA,1,0,0
RGP,1456,0.7136363636363636,0.7149011161151361,520,33
RAJ,5539,0.7609991731581008,0.7737613854511294,1436,3
RD8,1450,0.7774708410067526,0.8444873444873445,289,0
RM1,4134,0.5305473540767658,0.6908234238276868,1322,12
RGN,3531,0.681949198342641,0.681949198342641,774,24
Y02428,0,NA,1,0,0
RQW,1984,0.7318918918918919,0.7318918918918919,606,31
RCX,1670,0.6710007880220646,0.6710007880220646,642,32
RWG,3394,0.42546637001540305,0.6836611054152297,1499,21
RGR,NA,NA,NA,227,0
RF4,6053,0.4011522134627047,0.6407928312859771,728,611
R1H,6421,0.6639217154162879,0.7856236645299145,3474,316
AD913,10,NA,0.9960143483459546,0,0
RYX,0,NA,1,0,0
RQM,NA,NA,NA,223,9
RJ6,2460,0.7278761061946902,0.8182624113475178,761,38
RVR,1631,0.8351192883137889,0.8422172777401568,865,17
RJ1,1437,0.8317330210772834,0.8706803455723542,175,0
NYM13,0,NA,NA,0,0
RQX,1034,0.8570836212854182,0.8570836212854182,329,11
RY9,0,NA,1,0,0
RYJ,NA,NA,NA,1302,61
RJZ,4934,0.6228306655433867,0.7369234870701147,2167,249
RAX,1577,0.7061691355709732,0.7956989247311828,671,0
RJ2,4034,0.6500136749019966,0.786865324668463,1281,169
R1K,2876,0.7106841516722578,0.8650082140342643,1252,27
RP6,0,NA,1,0,0
RAT,4,NA,0.9968503937007874,0,0
RAP,2903,0.6347274375242782,0.7692735654109044,1143,96
RT3,0,NA,NA,0,0
RAL,4140,0.7426173453528132,0.7760467380720545,1109,47
RAN,0,NA,NA,0,0
RJ7,1555,0.8464197530864197,0.8464197530864197,583,4
RAS,1844,0.5842696629213483,0.7758054711246201,830,8
Y03218,0,NA,1,0,0
RRV,799,0.8806393785479534,0.8806393785479534,461,0
Y02147,10,NA,0.9980252764612955,0,0
RKE,1382,0.8216313887454827,0.8216313887454827,586,5
NL7,0,NA,1,0,0
8J094,0,NA,1,0,0
M85813,0,NA,1,0,0
RQ3,346,0.9081984611302732,0.9081984611302732,0,0
RFS,515,0.8987416437278805,0.9164503569110967,155,0
Y03571,0,NA,1,0,0
RYG,0,NA,NA,0,0
RY8,0,NA,1,0,0
NNJ,6,NA,0.9884836852207294,0,0
Y03007,0,NA,1,0,0
RLT,877,0.8094927062921837,0.8396416163832511,451,2
RNQ,NA,NA,NA,750,0
C82038,0,NA,1,0,0
RY5,12,NA,0.9971724787935909,0,0
NNJ0H,0,NA,1,0,0
NJS05,6,NA,0.998275366484622,0,0
NNJ12,0,NA,1,0,0
C82009,0,NA,1,0,0
NNJ13,0,NA,1,0,0
RNS,2823,0.5679239497086783,0.6575275991750577,675,1
NR3,2,NA,0.9993093922651933,0,0
RX1,NA,NA,NA,42,0
NNJ14,0,NA,1,0,0
NNJ15,0,NA,1,0,0
C82010,0,NA,1,0,0
RXK,2820,0.7369119878603946,0.783443403471049,519,3
RK5,1036,0.8598954032480044,0.8966995712433942,263,7
R1D,0,NA,1,0,0
C83023,0,NA,1,0,0
Y02615,0,NA,1,0,0
RJC,817,0.831476897689769,0.831476897689769,49,3
Y02961,0,NA,1,0,0
RNA,1815,0.7361838278068644,0.8454529972752044,1088,20
RL1,0,NA,NA,0,0
RL4,3135,0.6873065015479877,0.7749461593682699,1156,108
RXW,3095,0.6355371900826446,0.6583130933981012,1457,77
RWD,3993,0.5043180086360173,0.7053788829041541,1424,41
