org_code,perc_bed_occupied
R1H,0.6979591836734694
R1K,1
RAL,0.3316220118722926
RAN,NA
RAP,0.9368244786116608
RAS,0.45296780684104626
RAT,NA
RAX,1
RF4,1
RJ1,0.5577564102564102
RJ2,0.8910365335598981
RJ6,0.7195054945054944
RJ7,0.7278622087132726
RJZ,0.5940355401087505
RKE,0.5155546020167346
RKL,NA
RP4,0.466764922623434
RP6,0.400968992248062
RPY,0.8908987593522114
RQM,0.6431297709923665
RQX,0.4648967551622419
RQY,NA
RRP,NA
RRV,0.7769582016157359
RT3,0.4205607476635514
RV3,NA
RVR,0.7132219096475261
RWK,NA
RYJ,0.696420581655481
RYX,NA
TAF,NA
RA4,1
RA7,0.5063732820622374
RA9,0.5026798307475318
RBD,0.8080837452747892
RBZ,0.6681052198931361
RD1,1
RD3,1
RDY,0.5714285714285714
RDZ,0.9044600580418511
REF,0.8031981724728726
RH5,0.8907298957291816
RH8,0.7093901396409233
RJ8,0.359375
RK9,0.5846450846450846
RN3,1
RNZ,0.8878458498023716
RTE,0.9716204869857262
RTQ,0.29059829059829057
RVJ,0.6083333333333334
RVN,NA
RWV,NA
R1C,NA
R1F,0.7048433048433048
RA2,0.5590551181102362
RDU,0.8173515981735159
RHM,0.5665814877910278
RHU,0.8182692307692309
RHW,0.7698797721999577
RN5,0.8601885098743267
RN7,0.6923211781206171
RNU,NA
RPA,0.9811616954474098
RPC,0.75190258751902594
RPG,NA
RTH,0.8897193157282843
RTK,0.5768585802124092
RTP,0.9997962510187449
RVV,0.4094942324755989
RW1,1
RWF,0.9823628895868568
RWX,NA
RX2,NA
RXC,0.29582747304266294
RXH,0.6348484848484849
RXQ,0.5950819672131148
RXX,NA
RXY,NA
RYR,0.8312655086848635
R1A,1
RBK,0.6750496360026472
RFS,NA
RHA,NA
RJC,1
RJE,1
RK5,0.8192604310856239
RKB,0.7099469496021219
RL1,0.4070422535211268
RL4,0.6992585727525487
RLQ,0
RLT,1
RLY,NA
RNA,0.6662112932604737
RNQ,0.5059265683723619
RNS,0.7890589824403422
RP1,NA
RP7,NA
RQ3,0.8696275071633237
RRE,1
RRJ,0.650749063670412
RRK,0.978698438487228
RTG,0.7568803454991956
RWD,0.4536407027521072
RWE,0.6007871802080406
RWP,0.6958705357142857
RX1,0.6564612710063744
RXK,1
RXM,NA
RXT,NA
RXW,1
RY5,0.23529411764705882
RY8,NA
RYG,NA
RYW,0.8525798525798526
TAJ,NA
R1L,NA
RAJ,0.7781515431839205
RC9,0.6894652948847994
RCX,1
RD8,0.8618012422360248
RDE,0.7799630729710203
RGM,0.2778161713890809
RGN,0.5541946308724832
RGP,0.6913615560640732
RGR,NA
RGT,0.6285111924102438
RM1,1
RMY,NA
RQW,0.6942531209642703
RT1,NA
RWG,0.5348221480372971
RWH,0.5388540031397174
RWR,NA
RY3,NA
R0A,0.6525141525141526
RBL,0.6858757062146893
RBN,0.9849187935034802
RBQ,0.7647897362794013
RBS,0.8137651821862348
RBT,0.8876404494382023
RBV,0.8705357142857142
REM,0.9272910372608257
REN,0.5629580279813458
REP,0.49469387755102046
RET,1
RJN,1
RJR,1
RM3,0.5004742333227948
RMC,0.40591618734593266
RMP,0.7232247480665572
RRF,0.4114149821640904
RT2,NA
RTV,NA
RTX,0.49521238994923206
RVY,0.4642405063291139
RW4,NA
RW5,NA
RW6,0.6243330792682927
RWJ,1
RWW,0.8604166666666667
RXA,NA
RXL,0.8922857595437986
RXN,0.8071174377224198
RXR,0.9003580562659848
R0B,NA
RAE,0.3984208279982928
RCB,0.49645180366646957
RCD,0.14391304347826087
RCF,0.8042643923240937
RCU,0.9419448476052249
RFF,0.5482190860215054
RFR,0.9740944017563118
RGD,NA
RHQ,0.5065003979835501
RJL,0.505081874647092
RNN,1
RP5,0.6994580584354383
RR7,0.6140122873345936
RR8,0.6801953774107459
RTD,0.5568888499605851
RTF,0.7216340498342422
RTR,0.7826755509994874
RV9,NA
RVW,1
RWA,0.5530159438064444
RWY,0.8103347034644744
RX3,NA
RX4,NA
RXE,NA
RXF,0.36770800837827
RXG,NA
RXP,1
RY6,NA
TAD,NA
TAH,NA
