code,trust_name,total_waiting_list,perc_waiting_6_plus_weeks
RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",9311,0.106003651594888
R1H,Barts Health NHS Trust,26954,0.234325146545967
NT405,BMI - Bishops Wood,23,0
NT409,BMI - Chelsfield Park Hospital,26,0
NT416,BMI - Hendon Hospital,11,0
NT436,BMI - Shirley Oaks Hospital,10,0
NT406,BMI - The Blackheath Hospital,45,0
NT411,BMI - The Clementine Churchill Hospital,29,0
NT421,BMI - The Kings Oak Hospital,14,0
NT422,BMI - The London Independent Hospital,260,0.0576923076923077
NT437,BMI - The Sloane Hospital,0,0
NT451,BMI The Cavell Hospital,31,0
NQV,Bromley Healthcare,299,0.608695652173913
RV3,Central and North West London NHS Foundation Trust,47,0
RQM,Chelsea and Westminster Hospital NHS Foundation Trust,6190,0.069951534733441
RJ6,Croydon Health Services NHS Trust,7228,0.202268954067515
RVR,Epsom and St Helier University Hospitals NHS Trust,6568,0.20462850182704
RP4,Great Ormond Street Hospital For Children NHS Foundation Trust,1860,0.382795698924731
RJ1,Guy's and St Thomas' NHS Foundation Trust,8952,0.223413762287757
RQX,Homerton University Hospital NHS Foundation Trust,4447,0.0494715538565325
RY9,Hounslow and Richmond Community Healthcare NHS Trust,154,0.012987012987013
RYJ,Imperial College Healthcare NHS Trust,10845,0.268142000922084
RJZ,King's College Hospital NHS Foundation Trust,13048,0.213979153893317
RAX,Kingston Hospital NHS Foundation Trust,7227,0.507817905078179
RJ2,Lewisham and Greenwich NHS Trust,11929,0.386117864028837
R1K,London North West University Healthcare NHS Trust,6844,0.0360900058445354
RP6,Moorfields Eye Hospital NHS Foundation Trust,124,0.0483870967741936
RAP,North Middlesex University Hospital NHS Trust,3963,0.103456977037598
NTP15,Practice Plus Group Hospital - Ilford,332,0.280120481927711
RT3,Royal Brompton & Harefield NHS Foundation Trust,370,0.0918918918918919
RAL,Royal Free London NHS Foundation Trust,8110,0.144512946979038
RAN,Royal National Orthopaedic Hospital NHS Trust,1850,0.204324324324324
RV5,South London and Maudsley NHS Foundation Trust,0,0
T8R5I,Spamedica Wokingham,0,0
NT314,Spire London East,303,0.0792079207920792
NT3X3,Spire St Anthony's Hospital,43,0.465116279069767
RJ7,St George's University Hospitals NHS Foundation Trust,9157,0.222015944086491
DK6,Surgimed Healthcare Ltd,43,0
RAS,The Hillingdon Hospitals NHS Foundation Trust,3644,0.247804610318332
RPY,The Royal Marsden NHS Foundation Trust,0,0
RRV,University College London Hospitals NHS Foundation Trust,4074,0.702994599901816
RKL,West London NHS Trust,424,0.653301886792453
NVC0M,West Valley Hospital,35,0.228571428571429
RKE,Whittington Health NHS Trust,3741,0.07457898957498
NNV,Your Healthcare,0,0
NT402,BMI - Bath Clinic,19,0
NT419,BMI - The Harbour Hospital,1,0
NT430,BMI - The Ridgeway Hospital,15,0
NT443,BMI - The Winterbourne Hospital,1,0
NX0,Chime Social Enterprise,1195,0.534728033472803
NV302,Circle Bath Hospital,72,0
RJ8,Cornwall Partnership NHS Foundation Trust,94,0.48936170212766
RBD,Dorset County Hospital NHS Foundation Trust,4270,0.26440281030445
RDY,Dorset Healthcare University NHS Foundation Trust,455,0.0615384615384615
NVC04,Duchy Hospital,33,0.0909090909090909
NGL,Echogenicity Limited,557,0.764811490125673
NCL01,Express Diagnostics (Derriford),80,0
RTQ,Gloucestershire Health and Care NHS Foundation Trust,62,0
