org_code,inpatient_admissions,inpatient_failed_to_attend,outpatient_first_attendances_seen,outpatient_first_attendances_dna,outpatient_subsequent_attendances_seen,outpatient_subsequent_attendances_dna
NLG,0,0,223,25,127,2
NQV,54,0,568,89,3329,174
NT314,1188,0,1661,0,2985,0
NT3X3,74,0,197,0,282,0
NT405,372,0,456,47,1403,45
NT406,635,0,942,80,2729,173
NT409,383,0,484,38,1522,79
NT411,916,0,1564,162,5091,272
NT416,261,0,1072,118,2826,202
NT421,348,0,833,50,1681,83
NT422,1553,0,2513,394,6673,703
NT436,670,0,660,51,2384,77
NT437,297,0,391,22,1304,45
NT451,603,0,560,43,2444,109
NTP15,2029,80,2746,224,2606,102
NVC0M,163,0,324,18,746,57
NYW02,93,1,308,19,349,57
NYW03,236,3,380,35,670,37
R1H,16788,774,88145,11350,236122,29914
R1K,9295,618,43780,7606,74856,11621
RAL,14814,564,66144,9219,141675,18184
RAN,1171,20,1343,80,6977,474
RAP,4268,202,29517,4267,57736,6628
RAS,4845,225,19759,2410,37731,4819
RAT,0,0,2826,38,7833,1555
RAX,4741,217,27931,2787,44920,4047
RF4,10618,275,37506,4810,64971,7779
RJ1,21153,877,78621,10786,161730,21282
RJ2,7721,114,40503,9457,73229,10225
RJ6,6160,204,28091,2926,55539,5005
RJ7,10687,301,49711,6093,109878,9550
RJZ,17329,520,63918,9516,150512,20618
RKE,3804,290,18131,2790,31645,4291
RKL,14,0,0,0,0,0
RP4,2260,44,5267,312,26548,2280
RP6,7931,0,27885,3878,90317,12464
RPG,0,0,288,37,499,45
RPY,1793,2,4621,295,46663,2056
RQM,9984,237,42733,6196,77373,8565
RQX,2828,293,25368,3254,45179,7337
RQY,0,0,6045,549,61718,7215
RRP,439,0,736,139,2960,767
RRV,18497,162,54645,7814,136062,18550
RT3,1584,0,3453,414,15256,2010
RV3,0,0,475,89,1322,83
RVR,6588,118,30326,2792,48627,5307
RWK,0,0,8442,0,0,0
RYJ,16580,1045,72327,9232,179290,19402
NEJ01,0,0,37,1,60,0
NQT5K,68,0,240,25,377,66
NR5,1,0,77,13,207,19
NT206,445,0,462,18,843,36
NT211,39,0,57,0,120,0
NT215,37,0,59,9,62,7
NT233,526,0,773,36,1334,85
NT238,213,0,265,9,668,18
NT302,458,0,612,0,1013,0
NT402,474,0,646,18,1223,19
NT419,147,0,106,2,717,15
NT430,692,0,774,39,1863,53
NT443,300,0,352,9,1020,25
NTPH1,1517,5,1731,53,2671,164
NTPH2,2706,69,2836,190,2261,146
NTPH3,1097,24,1267,116,438,25
NTPH5,652,3,715,11,195,3
NV302,1169,15,1902,82,2427,286
NVC04,1143,0,2038,71,6944,236
NVC08,982,15,1421,82,2603,254
NVC09,1289,0,1587,66,4834,186
NVC22,597,3,822,44,3107,135
NXP,645,13,1163,23,386,12
RA3,2365,64,7744,359,18418,1118
RA4,3560,49,10847,391,21582,1248
RA7,11354,215,39707,2951,92620,6607
RA9,5971,153,21330,1117,61536,3069
RBA,6925,65,16373,1221,25669,1961
RBD,5450,146,12275,780,26934,1743
RBZ,4080,0,10375,584,18570,1404
RD1,5132,14,36483,2999,61671,4002
RD3,3069,27,21056,1493,31528,2372
RDY,333,25,1007,89,1345,122
RDZ,9286,182,22387,1506,44085,2762
REF,10678,283,32298,2451,69334,4645
RH5,0,0,262,41,1267,149
RH8,9673,214,30868,2442,53832,3802
RJ8,0,0,428,0,0,0
RK9,11365,257,27642,1436,54938,2979
RN3,2685,45,20090,1296,38169,2268
RNZ,6200,38,18523,1097,39735,2301
RTE,11718,0,42747,3762,87150,5821
RVJ,13951,175,27107,2229,61176,5566
ADP02,1198,0,1283,55,5453,110
AJX,667,10,724,42,2327,184
NNE,0,0,2515,127,3549,199
NT212,47,0,54,1,134,10
NT218,47,0,68,4,97,3
NT241,35,0,56,7,129,5
NT244,49,0,100,3,150,10
NT304,307,0,410,0,1718,0
NT305,338,0,472,0,1169,0
NT308,238,0,121,0,464,0
NT309,375,0,305,0,812,0
NT310,125,0,69,0,198,0
NT312,388,0,663,0,1363,0
NT343,54,0,116,0,320,0
NT344,400,0,507,0,1273,0
NT345,303,0,307,0,1029,0
NT364,246,0,300,0,1255,0
NT408,670,0,962,43,1559,65
NT410,244,0,339,4,1641,36
NT417,474,0,383,18,2645,46
NT418,778,0,814,42,2326,94
NT428,170,0,366,17,878,30
NT431,96,0,117,2,273,10
NT433,249,0,203,2,961,22
NT435,83,0,157,5,173,1
NT455,189,0,1055,109,3135,342
NTP11,3429,106,3986,276,4957,567
NTP16,1427,17,1021,13,631,35
NTPAD,2560,83,2447,69,1950,164
NV1,0,0,442,25,506,24
NV323,1262,11,2472,76,3603,227
NVC01,576,0,622,24,2760,83
NVC02,559,3,1297,201,3350,82
NVC11,585,0,960,30,3263,77
NVC25,787,0,1603,66,7942,313
NVM,1723,25,3320,53,4105,92
NWX,1063,15,2139,194,5721,308
NXM01,196,0,173,7,421,24
NYG,589,0,8834,471,7580,477
R1C,0,0,1098,126,3240,383
R1F,2423,79,12610,1189,20121,1666
RA2,7506,68,21519,1539,44722,2652
RDR,0,0,345,35,1700,118
RDU,16641,336,45117,3944,77891,6453
RHM,10755,218,45601,4505,100954,9624
RHU,7390,170,41036,2813,100633,6109
RHW,12474,131,48211,4109,86266,7810
RN5,9217,244,30359,2197,58052,4058
RN7,6333,191,17500,1651,31143,2574
RPA,4849,183,23376,1979,43568,3633
RPC,3352,11,10529,1265,31052,2895
RTH,19964,847,73678,4233,117695,8273
RTK,7383,261,35558,3511,65166,6196
RTP,7710,0,28452,1827,40118,2591
RVV,15993,135,33700,2759,50659,4351
RW1,455,12,1008,54,2599,204
RWF,16041,211,42544,3015,74476,5031
RWX,0,0,422,101,899,33
RXC,3889,26,26315,2257,43616,3468
RXH,13031,264,30199,3129,65476,5874
RXQ,8281,92,27329,1875,46101,3066
RXY,87,0,0,0,0,0
RYR,11032,340,29819,2031,55514,3662
RYY,0,0,692,0,0,0
