Provider Parent Org Code,Provider Parent Name,Treatment Function Name,Total waiting > 52 weeks,Total waiting > 18 weeks
QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,Cardiology,101,1573
QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,Cardiothoracic Surgery,43,321
QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,Dermatology,155,1693
QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,"Ear, Nose & Throat (ENT)",1472,5736
QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,Gastroenterology,84,2306
QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,General Medicine,385,1390
QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,General Surgery,2617,8988
QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,Geriatric Medicine,4,54
QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,Gynaecology,338,3149
QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,Neurology,562,3375
QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,Neurosurgery,334,1982
QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,Ophthalmology,1412,6823
QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,Oral Surgery,2487,7516
QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,Other,588,3406
QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,Plastic Surgery,801,2000
QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,Rheumatology,3,398
QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,Thoracic Medicine,5,303
QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,Total,15400,66943
QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,Trauma & Orthopaedics,3230,12038
QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,Urology,779,3892
QF7,SOUTH YORKSHIRE AND BASSETLAW STP,Cardiology,35,1312
QF7,SOUTH YORKSHIRE AND BASSETLAW STP,Cardiothoracic Surgery,0,31
QF7,SOUTH YORKSHIRE AND BASSETLAW STP,Dermatology,21,844
QF7,SOUTH YORKSHIRE AND BASSETLAW STP,"Ear, Nose & Throat (ENT)",217,4263
QF7,SOUTH YORKSHIRE AND BASSETLAW STP,Gastroenterology,2,1072
QF7,SOUTH YORKSHIRE AND BASSETLAW STP,General Medicine,2,645
QF7,SOUTH YORKSHIRE AND BASSETLAW STP,General Surgery,423,4475
QF7,SOUTH YORKSHIRE AND BASSETLAW STP,Geriatric Medicine,1,29
QF7,SOUTH YORKSHIRE AND BASSETLAW STP,Gynaecology,278,2159
QF7,SOUTH YORKSHIRE AND BASSETLAW STP,Neurology,0,293
QF7,SOUTH YORKSHIRE AND BASSETLAW STP,Neurosurgery,111,1045
QF7,SOUTH YORKSHIRE AND BASSETLAW STP,Ophthalmology,261,4658
QF7,SOUTH YORKSHIRE AND BASSETLAW STP,Oral Surgery,349,2719
QF7,SOUTH YORKSHIRE AND BASSETLAW STP,Other,1351,9617
QF7,SOUTH YORKSHIRE AND BASSETLAW STP,Plastic Surgery,41,717
QF7,SOUTH YORKSHIRE AND BASSETLAW STP,Rheumatology,8,408
QF7,SOUTH YORKSHIRE AND BASSETLAW STP,Thoracic Medicine,4,405
QF7,SOUTH YORKSHIRE AND BASSETLAW STP,Total,5576,51038
QF7,SOUTH YORKSHIRE AND BASSETLAW STP,Trauma & Orthopaedics,2175,14042
QF7,SOUTH YORKSHIRE AND BASSETLAW STP,Urology,297,2304
QGH,HEREFORDSHIRE AND WORCESTERSHIRE STP,Cardiology,31,905
QGH,HEREFORDSHIRE AND WORCESTERSHIRE STP,Dermatology,282,1341
