Code,No. people,No. people aged 65+
E06000001,93663,18198
E06000002,140980,23098
E06000003,137150,31034
E06000004,197348,36423
E06000005,106803,21937
E06000006,129410,23812
E06000007,210014,39645
E06000008,149696,21774
E06000009,139446,28495
E06000010,259778,39323
E06000011,341173,89346
E06000012,159563,32871
E06000013,172292,36656
E06000014,210618,38735
E06000015,257302,42383
E06000016,354224,43121
E06000017,39927,10163
E06000018,332900,38779
E06000019,192801,47666
E06000020,179854,31087
E06000021,256375,44056
E06000022,193282,36682
E06000023,463377,60345
E06000024,215052,51641
E06000025,285093,53697
E06000026,262100,48530
E06000027,136264,36612
E06000030,222193,36159
E06000031,202259,30051
E06000032,213052,26941
E06000033,183125,35625
E06000034,174341,24063
E06000035,278556,44859
E06000036,122549,18011
E06000037,158450,30568
E06000038,161780,20270
E06000039,149539,15204
E06000040,151422,28454
E06000041,171119,30147
E06000042,269457,38182
E06000043,290885,38839
E06000044,214905,30433
E06000045,252520,33873
E06000046,141771,40186
E06000047,530094,110452
E06000049,384152,88280
E06000050,343071,74192
E06000051,323136,79762
E06000052,569578,142466
E06000053,2224,580
E06000054,500024,108447
E06000055,173292,30925
E06000056,288648,51773
E06000057,322434,79783
E06000058,395331,86297
E06000059,378508,110049
E07000004,203219,34354
E07000005,96046,20698
E07000006,70440,14900
E07000007,174268,32908
E07000008,124798,16364
E07000009,89840,18340
E07000010,101850,23446
E07000011,177963,35941
E07000012,159086,31184
E07000026,97761,24154
E07000027,67049,14597
E07000028,108678,23818
E07000029,68183,15502
E07000030,53253,14353
E07000031,105088,29936
E07000032,128147,28476
E07000033,80562,16192
E07000034,104900,22253
E07000035,72325,19680
E07000036,115371,23719
E07000037,92666,19764
E07000038,101462,25183
E07000039,107261,19689
E07000040,146284,44415
E07000041,131405,21049
E07000042,82311,19383
E07000043,97145,24540
E07000044,87004,24584
E07000045,134163,35687
E07000046,68267,18934
E07000047,55796,15609
E07000061,103745,26021
E07000062,92661,18843
E07000063,103268,26685
E07000064,96080,30886
E07000065,161475,42157
E07000066,187199,32240
E07000067,152604,31099
E07000068,77021,15685
E07000069,90376,22924
E07000070,178388,34304
E07000071,194706,33618
E07000072,131689,25939
E07000073,87067,13401
E07000074,64926,16452
E07000075,87368,20273
E07000076,146561,43702
E07000077,91284,17930
E07000078,116306,22910
E07000079,89862,23231
E07000080,86791,21454
E07000081,129128,21824
E07000082,119964,27112
E07000083,95019,20979
E07000084,176582,30967
E07000085,122308,28605
E07000086,133584,26227
E07000087,116233,27537
E07000088,84838,17320
E07000089,97073,19275
E07000090,126220,29708
E07000091,180086,52707
E07000092,94599,14087
E07000093,126160,27409
E07000094,124859,26695
E07000095,97279,17365
E07000096,154763,26844
E07000098,104919,19263
E07000099,133570,25661
E07000102,93323,17002
E07000103,96577,12856
E07000105,130032,25278
E07000106,165394,34140
E07000107,112606,15874
E07000108,118131,27789
E07000109,106939,18555
E07000110,171826,33008
E07000111,120750,26098
