Code,Total Attendances > 4 hours,Percentage in 4 hours or less (type 1),Percentage in 4 hours or less (all),Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
RC9,-,-,-,111,0
RGT,-,-,-,862,178
NQ108,1,-,0.99936748893105631,1,1
RWH,2375,0.66977456164764826,0.78176973261049343,335,2
RDE,2362,0.79026517173874355,0.84354507518049948,493,0
NQ106,0,-,1,0,0
RY4,0,-,1,0,0
DT301,0,-,1,0,0
RGP,1456,0.71363636363636362,0.71490111611513607,520,33
RAJ,5539,0.76099917315810084,0.77376138545112938,1436,3
RD8,1450,0.77747084100675257,0.84448734448734453,289,0
RM1,4134,0.53054735407676579,0.6908234238276868,1322,12
RGN,3531,0.68194919834264101,0.68194919834264101,774,24
Y02428,0,-,1,0,0
RQW,1984,0.73189189189189185,0.73189189189189185,606,31
RCX,1670,0.67100078802206464,0.67100078802206464,642,32
RWG,3394,0.42546637001540305,0.68366110541522973,1499,21
RGR,-,-,-,227,0
RF4,6053,0.40115221346270469,0.64079283128597708,728,611
R1H,6421,0.66392171541628786,0.7856236645299145,3474,316
AD913,10,-,0.99601434834595459,0,0
RYX,0,-,1,0,0
RQM,-,-,-,223,9
RJ6,2460,0.72787610619469023,0.81826241134751776,761,38
RVR,1631,0.8351192883137889,0.84221727774015676,865,17
RJ1,1437,0.83173302107728342,0.87068034557235419,175,0
NYM13,0,-,-,0,0
RQX,1034,0.85708362128541815,0.85708362128541815,329,11
RY9,0,-,1,0,0
RYJ,-,-,-,1302,61
RJZ,4934,0.62283066554338673,0.73692348707011468,2167,249
RAX,1577,0.70616913557097316,0.79569892473118276,671,0
RJ2,4034,0.65001367490199657,0.78686532466846304,1281,169
R1K,2876,0.71068415167225785,0.86500821403426431,1252,27
RP6,0,-,1,0,0
RAT,4,-,0.99685039370078743,0,0
RAP,2903,0.63472743752427818,0.76927356541090441,1143,96
RT3,0,-,-,0,0
RAL,4140,0.74261734535281321,0.77604673807205449,1109,47
RAN,0,-,-,0,0
RJ7,1555,0.8464197530864197,0.8464197530864197,583,4
RAS,1844,0.5842696629213483,0.77580547112462006,830,8
Y03218,0,-,1,0,0
RRV,799,0.88063937854795338,0.88063937854795338,461,0
Y02147,10,-,0.99802527646129546,0,0
RKE,1382,0.82163138874548269,0.82163138874548269,586,5
NL7,0,-,1,0,0
8J094,0,-,1,0,0
M85813,0,-,1,0,0
RQ3,346,0.90819846113027325,0.90819846113027325,0,0
RFS,515,0.89874164372788046,0.91645035691109666,155,0
Y03571,0,-,1,0,0
RYG,0,-,-,0,0
RY8,0,-,1,0,0
NNJ,6,-,0.98848368522072938,0,0
Y03007,0,-,1,0,0
RLT,877,0.80949270629218373,0.83964161638325108,451,2
RNQ,-,-,-,750,0
C82038,0,-,1,0,0
RY5,12,-,0.99717247879359094,0,0
NNJ0H,0,-,1,0,0
NJS05,6,-,0.99827536648462201,0,0
NNJ12,0,-,1,0,0
C82009,0,-,1,0,0
NNJ13,0,-,1,0,0
RNS,2823,0.56792394970867832,0.65752759917505765,675,1
NR3,2,-,0.99930939226519333,0,0
RX1,-,-,-,42,0
NNJ14,0,-,1,0,0
NNJ15,0,-,1,0,0
C82010,0,-,1,0,0
RXK,2820,0.73691198786039458,0.78344340347104902,519,3
RK5,1036,0.8598954032480044,0.89669957124339417,263,7
R1D,0,-,1,0,0
C83023,0,-,1,0,0
Y02615,0,-,1,0,0
RJC,817,0.83147689768976896,0.83147689768976896,49,3
Y02961,0,-,1,0,0
RNA,1815,0.73618382780686442,0.8454529972752044,1088,20
RL1,0,-,-,0,0
RL4,3135,0.68730650154798767,0.77494615936826994,1156,108
