code,trust_name,total_waiting_list,Date
RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",8793,2020-11-01
R1H,Barts Health NHS Trust,28755,2020-11-01
NT405,BMI - Bishops Wood,24,2020-11-01
NT409,BMI - Chelsfield Park Hospital,33,2020-11-01
NT416,BMI - Hendon Hospital,11,2020-11-01
NT436,BMI - Shirley Oaks Hospital,16,2020-11-01
NT406,BMI - The Blackheath Hospital,65,2020-11-01
NT411,BMI - The Clementine Churchill Hospital,34,2020-11-01
NT421,BMI - The Kings Oak Hospital,15,2020-11-01
NT422,BMI - The London Independent Hospital,189,2020-11-01
NT437,BMI - The Sloane Hospital,0,2020-11-01
NT451,BMI The Cavell Hospital,24,2020-11-01
NQV,Bromley Healthcare,289,2020-11-01
RV3,Central and North West London NHS Foundation Trust,51,2020-11-01
RQM,Chelsea and Westminster Hospital NHS Foundation Trust,6210,2020-11-01
RJ6,Croydon Health Services NHS Trust,7921,2020-11-01
RVR,Epsom and St Helier University Hospitals NHS Trust,7854,2020-11-01
RP4,Great Ormond Street Hospital For Children NHS Foundation Trust,1953,2020-11-01
RJ1,Guy's and St Thomas' NHS Foundation Trust,10257,2020-11-01
RQX,Homerton University Hospital NHS Foundation Trust,4566,2020-11-01
RY9,Hounslow and Richmond Community Healthcare NHS Trust,153,2020-11-01
RYJ,Imperial College Healthcare NHS Trust,11645,2020-11-01
RJZ,King's College Hospital NHS Foundation Trust,13570,2020-11-01
RAX,Kingston Hospital NHS Foundation Trust,8019,2020-11-01
RJ2,Lewisham and Greenwich NHS Trust,12977,2020-11-01
R1K,London North West University Healthcare NHS Trust,6759,2020-11-01
RP6,Moorfields Eye Hospital NHS Foundation Trust,122,2020-11-01
RAP,North Middlesex University Hospital NHS Trust,3909,2020-11-01
NTP15,Practice Plus Group Hospital - Ilford,390,2020-11-01
RT3,Royal Brompton & Harefield NHS Foundation Trust,450,2020-11-01
RAL,Royal Free London NHS Foundation Trust,9795,2020-11-01
RAN,Royal National Orthopaedic Hospital NHS Trust,2166,2020-11-01
RV5,South London and Maudsley NHS Foundation Trust,0,2020-11-01
T8R5I,Spamedica Wokingham,0,2020-11-01
NT314,Spire London East,148,2020-11-01
NT3X3,Spire St Anthony's Hospital,46,2020-11-01
RJ7,St George's University Hospitals NHS Foundation Trust,9459,2020-11-01
DK6,Surgimed Healthcare Ltd,34,2020-11-01
RAS,The Hillingdon Hospitals NHS Foundation Trust,3973,2020-11-01
RPY,The Royal Marsden NHS Foundation Trust,0,2020-11-01
RRV,University College London Hospitals NHS Foundation Trust,7714,2020-11-01
RKL,West London NHS Trust,414,2020-11-01
NVC0M,West Valley Hospital,66,2020-11-01
RKE,Whittington Health NHS Trust,3505,2020-11-01
NNV,Your Healthcare,1,2020-11-01
NT402,BMI - Bath Clinic,20,2020-11-01
NT419,BMI - The Harbour Hospital,0,2020-11-01
NT430,BMI - The Ridgeway Hospital,24,2020-11-01
NT443,BMI - The Winterbourne Hospital,4,2020-11-01
NX0,Chime Social Enterprise,1233,2020-11-01
NV302,Circle Bath Hospital,58,2020-11-01
RJ8,Cornwall Partnership NHS Foundation Trust,86,2020-11-01
RBD,Dorset County Hospital NHS Foundation Trust,4311,2020-11-01
RDY,Dorset Healthcare University NHS Foundation Trust,665,2020-11-01
NVC04,Duchy Hospital,6,2020-11-01
NGL,Echogenicity Limited,647,2020-11-01
NCL01,Express Diagnostics (Derriford),96,2020-11-01
RTQ,Gloucestershire Health and Care NHS Foundation Trust,56,2020-11-01
RTE,Gloucestershire Hospitals NHS Foundation Trust,9287,2020-11-01
NWV,GP Care UK Limited,654,2020-11-01
RN3,Great Western Hospitals NHS Foundation Trust,7023,2020-11-01
NXP,Independent Health Group,0,2020-11-01
NV11D,Inhealth - Prime Endoscopy Bristol,1297,2020-11-01
NVC08,Mount Stuart Hospital,7,2020-11-01
NVC09,New Hall Hospital,9,2020-11-01
RVJ,North Bristol NHS Trust,12460,2020-11-01
RBZ,Northern Devon Healthcare NHS Trust,3462,2020-11-01
NT202,"Nuffield Health, Bournemouth Hospital",0,2020-11-01
NT206,"Nuffield Health, Bristol Hospital (Chesterfield)",15,2020-11-01
NT211,"Nuffield Health, Cheltenham Hospital",1,2020-11-01
NT215,"Nuffield Health, Exeter Hospital",0,2020-11-01
NT238,"Nuffield Health, Taunton Hospital",0,2020-11-01
