Code,NHS DToC days,Social Care DToC days
NQ1,86,44
RDD,239,86
RC1,359,2
RGT,855,609
RT1,134,196
RWH,602,15
NAX,50,0
RDE,914,348
R1L,441,20
RY4,203,30
RWR,360,357
RGP,377,316
RC9,558,61
RQ8,185,75
RD8,673,59
RM1,317,435
RMY,405,290
RY3,286,91
RGN,743,441
NQA,79,49
RGM,0,0
RAJ,256,11
RQW,293,11
RCX,260,124
RWG,446,187
RGR,287,48
RF4,592,45
RRP,139,141
R1H,1593,358
TAF,30,208
RV3,488,135
RYX,293,153
RQM,337,55
RJ6,90,86
RWK,85,185
RVR,175,132
RJ1,722,199
RQX,248,123
RY9,45,9
RYJ,355,142
RJZ,469,244
RAX,240,41
RJ2,224,68
R1K,719,285
RP6,0,0
RAT,199,282
RAP,26,121
RPG,615,76
RT3,91,9
RAL,662,275
RAN,20,12
RV5,824,147
RQY,45,31
RJ7,435,30
RAS,59,81
RPY,17,16
RRV,474,330
RKL,303,173
RKE,325,180
RXT,825,184
RYW,857,259
RQ3,35,33
TAJ,0,7
RFS,438,274
RYG,209,0
RY8,127,35
RXM,17,82
RYK,42,0
RLT,245,26
NR9,86,10
RNQ,130,241
RT5,457,100
RY5,303,34
RP7,29,0
RRE,967,175
RLY,98,29
RNS,291,717
RP1,152,459
RX1,1869,112
RHA,155,34
RXK,353,382
RK5,803,24
RXW,216,32
R1D,160,23
RJC,293,253
RNA,364,332
RL1,104,53
RL4,376,345
RWD,638,59
RRK,1373,1748
RKB,1268,191
RTG,905,591
RWE,590,20
RJE,1938,0
RBK,452,92
RWP,358,26
R1A,607,428
RLQ,441,131
RCF,84,142
RFF,299,27
TAD,73,0
RAE,173,211
RWY,312,157
NNF,0,87
RXP,163,50
RX4,306,71
RP5,261,156
RR7,240,69
RCD,35,46
RWA,640,792
RV9,120,45
RGD,1015,29
RY6,0,0
RR8,1140,36
RXF,1026,303
NQL,23,0
RNN,1254,1229
RVW,251,13
RJL,807,67
RTF,96,2
RXE,195,401
TAH,9,23
RHQ,649,761
RTR,1363,405
R0B,299,425
RXG,150,29
RX3,280,139
RTD,848,53
RFR,169,488
RCB,791,668
RXL,147,184
RMC,254,285
RXA,203,58
RJR,440,666
RJN,317,245
RXR,407,73
RXV,1914,545
RW5,495,232
RXN,682,1323
RBQ,152,15
REM,833,507
REP,0,9
R0A,1791,2194
RW4,713,314
RBT,404,229
RTV,116,144
RW6,480,525
RT2,555,233
RM3,524,387
RVY,209,4
RBN,522,180
RWJ,833,348
RMP,179,318
RBV,27,0
REN,61,29
RET,365,160
RTX,638,396
NDA,133,163
RWW,189,48
RBL,218,232
RRF,232,185
RTK,300,169
RWX,427,335
RXH,669,221
RXQ,862,95
NTV,476,111
RN7,115,151
RVV,1418,113
RXC,635,12
NDJ,5,33
RDU,908,718
RN5,758,428
R1F,40,10
RXY,354,615
RYY,301,356
RWF,595,352
RPA,164,154
RNU,474,69
RTH,794,451
RHU,467,151
RPC,3,3
RHW,674,178
RA2,197,69
R1C,117,178
RW1,256,696
RXX,242,58
RTP,211,118
RDR,567,186
RX2,859,692
RHM,1056,753
RYR,1363,65
RVN,445,149
RJ8,525,797
RWV,145,125
RBD,310,6
