"Date","HospitalValue","BoardValue","NationalValue",
"01 Dec 2020","86.065","956.516","12985.290",
"01 Nov 2020","100.900","874.233","13034.200",
"01 Oct 2020","104.968","886.677","12923.129",
"01 Sep 2020","101.333","918.267","12788.100",
"01 Aug 2020","93.323","918.000","12638.323",
"01 Jul 2020","84.581","865.871","12423.516",
"01 Jun 2020","113.067","943.367","12604.567",
"01 May 2020","109.871","922.161","12591.645",
"01 Apr 2020","102.600","923.500","12813.100",
"01 Mar 2020","117.968","1120.871","13434.613",
"01 Feb 2020","114.690","1098.655","13411.414",
"01 Jan 2020","118.968","1120.355","13554.742",
"01 Dec 2019","116.935","1079.710","13248.387",
"01 Nov 2019","114.100","1081.500","13175.100",
"01 Oct 2019","114.774","1084.161","13157.194",
"01 Sep 2019","110.000","1062.133","13081.100",
"01 Aug 2019","107.161","1047.452","12972.097",
"01 Jul 2019","108.032","1042.355","12995.000",
"01 Jun 2019","107.900","1033.700","12991.667",
"01 May 2019","107.097","1033.484","12994.581",
"01 Apr 2019","106.967","1037.800","12968.700",
"01 Mar 2019","119.613","1064.419","13169.065",
"01 Feb 2019","120.786","1080.857","13315.143",
"01 Jan 2019","121.290","1059.935","13322.355",
"01 Dec 2018","122.839","1049.968","13026.129",
"01 Nov 2018","118.233","1054.233","12988.267",
"01 Oct 2018","112.968","1068.774","12946.097",
"01 Sep 2018","115.067","1069.167","12949.133",
"01 Aug 2018","115.710","1073.516","12874.645",
"01 Jul 2018","115.806","1070.452","12878.226",
"01 Jun 2018","118.033","1067.300","13188.367",
"01 May 2018","118.581","1069.452","13107.323",
"01 Apr 2018","122.500","1080.067","13355.433",
"01 Mar 2018","123.032","1093.806","13538.387",
"01 Feb 2018","121.107","1098.250","13577.214",
"01 Jan 2018","121.581","1104.645","13677.065",
"01 Dec 2017","119.903","1072.806","13415.548",
"01 Nov 2017","118.300","1080.533","13388.933",
"01 Oct 2017","117.677","1071.742","13265.484",
"01 Sep 2017","110.633","1067.767","13235.367",
"01 Aug 2017","118.290","1071.452","13277.806",
"01 Jul 2017","117.613","1064.710","13283.226",
"01 Jun 2017","118.633","1069.667","13415.733",
"01 May 2017","118.129","1071.323","13565.000",
"01 Apr 2017","119.567","1082.300","13512.433",
"01 Mar 2017","124.290","1096.871","13691.226",
"01 Feb 2017","122.821","1112.750","13755.643",
"01 Jan 2017","123.613","1110.355","13790.452",
"01 Dec 2016","119.387","1075.452","13568.161",
"01 Nov 2016","119.167","1076.833","13591.833",
"01 Oct 2016","115.613","1074.903","13554.935",
"01 Sep 2016","110.933","1072.867","13553.033",
"01 Aug 2016","118.000","1079.548","13565.065",
"01 Jul 2016","118.097","1079.258","13511.613",
"01 Jun 2016","116.433","1110.867","13669.367",
"01 May 2016","114.161","1094.645","13734.452",
"01 Apr 2016","115.733","1114.633","13750.667",
"01 Mar 2016","113.419","1125.258","13886.968",
"01 Feb 2016","118.172","1136.897","13992.621",
"01 Jan 2016","115.065","1133.323","13905.355",
"01 Dec 2015","113.710","1088.290","13647.710",
"01 Nov 2015","117.900","1102.200","13696.633",
"01 Oct 2015","114.226","1100.452","13693.032",
"01 Sep 2015","114.000","1093.900","13684.767",
"01 Aug 2015","118.258","1135.742","13689.903",
"01 Jul 2015","121.323","1172.129","13799.710",
"01 Jun 2015","116.233","1124.433","13886.633",
"01 May 2015","116.839","1154.355","14021.677",
"01 Apr 2015","118.000","1199.200","14172.467",
"01 Mar 2015","121.000","1203.032","14208.710",
"01 Feb 2015","120.679","1224.107","14375.643",
"01 Jan 2015","122.742","1238.194","14315.710",
"01 Dec 2014","119.645","1173.419","14093.516",
"01 Nov 2014","111.900","1171.567","14084.833",
"01 Oct 2014","116.613","1207.645","14020.806",
"01 Sep 2014","120.067","1224.100","14014.867",
"01 Aug 2014","117.968","1200.903","13925.323",
"01 Jul 2014","114.710","1177.161","13917.387",
