"Date","BoardValue","NationalValue",
"01 Apr 2021","8195.000","32600.000",
"01 Mar 2021","8429.000","33840.000",
"01 Feb 2021","7754.000","30450.000",
"01 Jan 2021","8516.000","35173.000",
"01 Dec 2020","7731.000","33343.000",
"01 Nov 2020","7811.000","33463.000",
"01 Oct 2020","7275.000","33256.000",
"01 Sep 2020","6904.000","32959.000",
"01 Aug 2020","7014.000","32318.000",
"01 Jul 2020","6687.000","28377.000",
"01 Jun 2020","6208.000","23729.000",
"01 May 2020","5303.000","21225.000",
"01 Apr 2020","5607.000","20293.000",
"01 Mar 2020","7945.000","45009.000",
"01 Feb 2020","8319.000","46875.000",
"01 Jan 2020","8306.000","47529.000",
"01 Dec 2019","7337.000","45404.000",
"01 Nov 2019","6724.000","44915.000",
"01 Oct 2019","7014.000","46240.000",
"01 Sep 2019","6692.000","45632.000",
"01 Aug 2019","6329.000","46897.000",
"01 Jun 2019","5873.000","42252.000",
"01 May 2019","6305.000","45061.000",
"01 Apr 2019","5682.000","40994.000",
"01 Mar 2019","5679.000","43419.000",
"01 Feb 2019","5951.000","40813.000",
"01 Jan 2019","5959.000","43863.000",
"01 Dec 2018","5222.000","42732.000",
"01 Nov 2018","5161.000","43918.000",
"01 Oct 2018","5899.000","47302.000",
"01 Sep 2018","5684.000","45470.000",
"01 Aug 2018","5769.000","43672.000",
"01 Jul 2018","5742.000","43511.000",
"01 Jun 2018","5637.000","42375.000",
"01 May 2018","5795.000","43244.000",
"01 Apr 2018","5354.000","41453.000",
"01 Mar 2018","5119.000","42628.000",
"01 Feb 2018","4332.000","38394.000",
"01 Jan 2018","4320.000","40152.000",
"01 Dec 2017","4547.000","41898.000",
"01 Nov 2017","5016.000","42320.000",
"01 Oct 2017","4600.000","44494.000",
"01 Sep 2017","4404.000","42110.000",
"01 Aug 2017","4212.000","41632.000",
"01 Jul 2017","4228.000","40667.000",
"01 Jun 2017","4413.000","39252.000",
"01 May 2017","4327.000","39651.000",
"01 Apr 2017","4743.000","40925.000",
"01 Mar 2017","5127.000","41493.000",
"01 Feb 2017","4863.000","40246.000",
"01 Jan 2017","5136.000","44222.000",
"01 Dec 2016","5138.000","45067.000",
"01 Nov 2016","5397.000","45639.000",
"01 Oct 2016","5312.000","48104.000",
"01 Sep 2016","4943.000","45074.000",
"01 Aug 2016","4747.000","45551.000",
"01 Jul 2016","4421.000","43919.000",
