org_code,name,attendances_type_1,attendances_type_2,attendences_type_3,attendences_total,perc_4_hours_or_less_type_1,perc_4_hours_or_less_type_2,perc_4_hours_or_less_type_3,perc_4_hours_or_less_all,num_patients_more_4_hours_from_decision_to_admit_to_admission,num_patients_more_12_hours_from_decision_to_admit_to_admission
RC9,Bedfordshire Hospitals NHS Foundation Trust,13316,0,4254,17570,NA,NA,NA,NA,0,0
RGT,Cambridge University Hospitals NHS Foundation Trust,8795,0,3730,12525,NA,NA,NA,NA,358,1
RWH,East And North Hertfordshire NHS Trust,8573,0,4897,13470,0.7301994634317042,NA,0.9989789667143149,0.8279138827023014,126,0
RDE,East Suffolk And North Essex NHS Foundation Trust,13509,0,5105,18614,0.8707528314457028,NA,0.9974534769833496,0.9055012356290963,143,0
RY4,Hertfordshire Community NHS Trust,0,0,808,808,NA,NA,0.9962871287128713,0.9962871287128713,0,0
DT301,Herts Urgent Care (Ascots Lane),0,0,1769,1769,NA,NA,0.9988694177501414,0.9988694177501414,0,0
RGP,James Paget University Hospitals NHS Foundation Trust,6388,0,0,6388,0.8293675641828429,NA,NA,0.8293675641828429,236,7
RAJ,Mid And South Essex NHS Foundation Trust,27921,0,2607,30528,0.8948461731313349,NA,0.9754507096279248,0.9017295597484277,333,0
RD8,Milton Keynes University Hospital NHS Foundation Trust,7759,0,4176,11935,0.8722773553292951,NA,0.9976053639846744,0.9161290322580645,41,0
RM1,Norfolk And Norwich University Hospitals NHS Foundation Trust,10678,0,5933,16611,0.5703315227570707,NA,1,0.723797483595208,587,11
RGN,North West Anglia NHS Foundation Trust,14026,0,0,14026,0.8005846285469842,NA,NA,0.8005846285469842,219,0
Y02428,Putnoe Medical Centre Walk In Centre,0,0,677,677,NA,NA,1,1,0,0
RQW,The Princess Alexandra Hospital NHS Trust,9223,0,0,9223,0.7689471972243305,NA,NA,0.7689471972243305,363,1
RCX,"The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust",6121,0,0,6121,0.820780918150629,NA,NA,0.820780918150629,259,3
RWG,West Hertfordshire Hospitals NHS Trust,6208,0,6994,13202,0.7111791237113402,NA,0.9921361166714326,0.8600212089077413,376,0
RGR,West Suffolk NHS Foundation Trust,6297,0,317,6614,NA,NA,NA,NA,58,0
RF4,"Barking, Havering And Redbridge University Hospitals NHS Trust",11205,580,10498,22283,0.5137884872824632,0.996551724137931,0.8984568489236044,0.7075797693308801,103,40
R1H,Barts Health NHS Trust,21740,979,14713,37432,0.7740110395584177,0.9959141981613892,0.9647250730646367,0.8547766616798461,1929,4
AD913,Beckenham Beacon Ucc,0,0,3553,3553,NA,NA,0.9921193357725866,0.9921193357725866,0,0
RYX,Central London Community Healthcare NHS Trust,0,0,2678,2678,NA,NA,0.9988797610156833,0.9988797610156833,0,0
RQM,Chelsea And Westminster Hospital NHS Foundation Trust,16016,0,7968,23984,NA,NA,NA,NA,212,2
RJ6,Croydon Health Services NHS Trust,10743,0,6291,17034,0.839802662198641,NA,1,0.8989667723376776,476,11
RVR,Epsom And St Helier University Hospitals NHS Trust,12530,240,298,13068,0.9119712689545092,1,1,0.9155953474135292,527,7
RJ1,Guy's And St Thomas' NHS Foundation Trust,10376,675,2811,13862,0.8779876638396299,1,1,0.9086711874188429,82,19
RQX,Homerton University Hospital NHS Foundation Trust,8594,0,0,8594,0.9081917616942052,NA,NA,0.9081917616942052,60,1
RY9,Hounslow And Richmond Community Healthcare NHS Trust,0,0,3143,3143,NA,NA,1,1,0,0
RYJ,Imperial College Healthcare NHS Trust,10495,3285,6733,20513,NA,NA,NA,NA,664,7
RJZ,King's College Hospital NHS Foundation Trust,13492,0,8768,22260,0.7219833975689297,NA,0.9200501824817519,0.8,1328,36
RAX,Kingston Hospital NHS Foundation Trust,6150,0,3254,9404,0.791219512195122,NA,0.9913952059004303,0.8604849000425351,284,0
RJ2,Lewisham And Greenwich NHS Trust,12161,0,9972,22133,0.8390757339034619,NA,0.9734255916566386,0.8996069217909908,237,34
R1K,London North West University Healthcare NHS Trust,10520,0,15541,26061,0.884125475285171,NA,0.9799240718100508,0.9412532136142128,144,2
RP6,Moorfields Eye Hospital NHS Foundation Trust,0,4079,0,4079,NA,0.9995096837460162,NA,0.9995096837460162,0,0
RAT,North East London NHS Foundation Trust,0,0,2087,2087,NA,NA,0.9966459032103497,0.9966459032103497,0,0
RAP,North Middlesex University Hospital NHS Trust,8496,451,6463,15410,0.6963276836158192,0.9866962305986696,0.9614730001547269,0.8160285528877352,826,16
RAL,Royal Free London NHS Foundation Trust,20452,0,3639,24091,0.8636808136123606,NA,1,0.8842721348221327,732,23
RAN,Royal National Orthopaedic Hospital NHS Trust,0,0,0,0,NA,NA,NA,NA,0,0
RJ7,St George's University Hospitals NHS Foundation Trust,10716,0,1635,12351,0.9443822321761851,NA,1,0.9517447979920655,58,1
RAS,The Hillingdon Hospitals NHS Foundation Trust,4903,0,4964,9867,0.6836630634305527,NA,0.9724012892828364,0.8289246984899159,347,1
Y03218,The Pinn Unregistered Wic,0,0,2597,2597,NA,NA,1,1,0,0
RRV,University College London Hospitals NHS Foundation Trust,8794,0,0,8794,0.9273368205594724,NA,NA,0.9273368205594724,333,3
Y02147,Urgent Care Centre (Qms),0,0,6647,6647,NA,NA,0.9929291409658493,0.9929291409658493,0,0
RKE,Whittington Health NHS Trust,8861,0,0,8861,0.8783433021103713,NA,NA,0.8783433021103713,151,1
NL7,Assura Vertis Urgent Care Centres (Birmingham),0,0,3940,3940,NA,NA,1,1,0,0
8J094,Badger Ltd,0,0,1088,1088,NA,NA,1,1,0,0
M85813,Birmingham Wic,0,0,1154,1154,NA,NA,1,1,0,0
RQ3,Birmingham Women's And Children's NHS Foundation Trust,4172,0,0,4172,0.9417545541706616,NA,NA,0.9417545541706616,0,0
RFS,Chesterfield Royal Hospital NHS Foundation Trust,5372,0,2341,7713,0.9385703648548027,NA,0.9940196497223409,0.9553999740697524,55,0
Y03571,Corby Urgent Care Centre,0,0,6153,6153,NA,NA,0.9967495530635463,0.9967495530635463,0,0
