org_code,name,rtt_type,count_wait_more_18_weeks,count_wait_more_52_weeks,perc_wait_more_18_weeks,perc_wait_more_52_weeks,count_total
A0C5S,SPAMEDICA GLOUCESTER,Completed Pathways For Admitted Patients,0,0,0,0,27
A0C5S,SPAMEDICA GLOUCESTER,Completed Pathways For Non-Admitted Patients,0,0,0,0,17
A0C5S,SPAMEDICA GLOUCESTER,Incomplete Pathways,2,0,0.017094017094017096,0,117
A0C5S,SPAMEDICA GLOUCESTER,Incomplete Pathways with DTA,1,0,0.021739130434782608,0,46
A0C5S,SPAMEDICA GLOUCESTER,New RTT Periods - All Patients,0,0,0,0,95
AAH,TETBURY HOSPITAL TRUST LTD,Completed Pathways For Admitted Patients,83,11,0.7477477477477478,0.0990990990990991,111
AAH,TETBURY HOSPITAL TRUST LTD,Completed Pathways For Non-Admitted Patients,10,0,0.05917159763313609,0,169
AAH,TETBURY HOSPITAL TRUST LTD,Incomplete Pathways,11,1,0.012443438914027148,0.0011312217194570137,884
AAH,TETBURY HOSPITAL TRUST LTD,Incomplete Pathways with DTA,2,0,0.013513513513513514,0,148
AAH,TETBURY HOSPITAL TRUST LTD,New RTT Periods - All Patients,0,0,0,0,637
AAV02,COMMUNITY HEALTH AND EYECARE LIMITED (PRESTON),Completed Pathways For Non-Admitted Patients,0,0,0,0,17
AAV02,COMMUNITY HEALTH AND EYECARE LIMITED (PRESTON),Incomplete Pathways,0,0,0,0,33
AAV02,COMMUNITY HEALTH AND EYECARE LIMITED (PRESTON),New RTT Periods - All Patients,0,0,0,0,31
ACG07,NEWMEDICA COMMUNITY OPHTHALMOLOGY - LEICESTERSHIRE - LEICESTER (STONEYGATE EYE HOSPITAL),Completed Pathways For Admitted Patients,4,0,0.026143790849673203,0,153
ACG07,NEWMEDICA COMMUNITY OPHTHALMOLOGY - LEICESTERSHIRE - LEICESTER (STONEYGATE EYE HOSPITAL),Completed Pathways For Non-Admitted Patients,0,0,0,0,125
ACG07,NEWMEDICA COMMUNITY OPHTHALMOLOGY - LEICESTERSHIRE - LEICESTER (STONEYGATE EYE HOSPITAL),Incomplete Pathways,4,0,0.012307692307692308,0,325
ACG07,NEWMEDICA COMMUNITY OPHTHALMOLOGY - LEICESTERSHIRE - LEICESTER (STONEYGATE EYE HOSPITAL),Incomplete Pathways with DTA,4,0,0.02197802197802198,0,182
