"Date","HospitalValue","BoardValue","NationalValue",
"20 Jun 2021","34.000","967.000","4889.000",
"13 Jun 2021","19.000","845.000","4491.000",
"06 Jun 2021","30.000","844.000","4622.000",
"30 May 2021","24.000","700.000","3746.000",
"23 May 2021","29.000","882.000","3443.000",
"16 May 2021","30.000","760.000","3922.000",
"09 May 2021","16.000","555.000","3014.000",
"02 May 2021","17.000","677.000","2850.000",
"25 Apr 2021","13.000","542.000","2837.000",
"18 Apr 2021","15.000","606.000","2805.000",
"11 Apr 2021","13.000","543.000","2993.000",
"04 Apr 2021","21.000","513.000","3122.000",
"28 Mar 2021","28.000","361.000","2537.000",
"21 Mar 2021","8.000","600.000","2831.000",
"14 Mar 2021","18.000","623.000","2285.000",
"07 Mar 2021","14.000","455.000","2244.000",
"28 Feb 2021","12.000","518.000","2816.000",
"21 Feb 2021","15.000","656.000","2986.000",
"14 Feb 2021","6.000","464.000","2232.000",
"07 Feb 2021","14.000","605.000","2544.000",
"31 Jan 2021","15.000","524.000","2360.000",
"24 Jan 2021","18.000","412.000","2355.000",
"17 Jan 2021","6.000","392.000","2321.000",
"10 Jan 2021","10.000","407.000","3205.000",
"03 Jan 2021","13.000","492.000","2844.000",
"27 Dec 2020","11.000","345.000","2086.000",
"20 Dec 2020","14.000","562.000","3409.000",
"13 Dec 2020","32.000","667.000","3117.000",
"06 Dec 2020","26.000","604.000","2256.000",
"29 Nov 2020","29.000","357.000","1980.000",
"22 Nov 2020","19.000","404.000","2176.000",
"15 Nov 2020","23.000","382.000","2401.000",
"08 Nov 2020","24.000","582.000","2665.000",
"01 Nov 2020","17.000","490.000","2780.000",
"25 Oct 2020","14.000","289.000","2616.000",
"18 Oct 2020","14.000","333.000","1972.000",
"11 Oct 2020","23.000","477.000","2661.000",
"04 Oct 2020","33.000","324.000","1828.000",
"27 Sep 2020","20.000","319.000","1753.000",
"20 Sep 2020","26.000","442.000","2260.000",
"13 Sep 2020","30.000","489.000","2236.000",
"06 Sep 2020","27.000","449.000","2196.000",
"30 Aug 2020","41.000","327.000","1778.000",
"23 Aug 2020","23.000","436.000","1965.000",
"16 Aug 2020","16.000","318.000","2075.000",
"09 Aug 2020","13.000","222.000","1623.000",
"02 Aug 2020","17.000","284.000","1509.000",
"26 Jul 2020","13.000","189.000","1346.000",
"19 Jul 2020","17.000","225.000","1226.000",
"12 Jul 2020","19.000","144.000","1069.000",
"05 Jul 2020","12.000","136.000","907.000",
"28 Jun 2020","15.000","185.000","985.000",
"21 Jun 2020","14.000","185.000","1039.000",
"14 Jun 2020","18.000","143.000","824.000",
"07 Jun 2020","13.000","173.000","1077.000",
"31 May 2020","13.000","144.000","957.000",
"24 May 2020","9.000","127.000","830.000",
"17 May 2020","12.000","117.000","667.000",
"10 May 2020","14.000","107.000","771.000",
"03 May 2020","13.000","156.000","841.000",
"26 Apr 2020","9.000","118.000","794.000",
"19 Apr 2020","16.000","94.000","611.000",
"12 Apr 2020","4.000","80.000","748.000",
"05 Apr 2020","10.000","84.000","822.000",
"29 Mar 2020","5.000","115.000","876.000",
"22 Mar 2020","8.000","163.000","1296.000",
"15 Mar 2020","21.000","533.000","3156.000",
"08 Mar 2020","21.000","1034.000","4316.000",
"01 Mar 2020","46.000","630.000","3934.000",
"23 Feb 2020","28.000","821.000","4284.000",
"16 Feb 2020","17.000","691.000","3239.000",
"09 Feb 2020","20.000","701.000","3575.000",
"02 Feb 2020","21.000","912.000","4068.000",
"26 Jan 2020","28.000","670.000","3507.000",
"19 Jan 2020","20.000","669.000","3576.000",
"12 Jan 2020","15.000","610.000","4685.000",
"05 Jan 2020","30.000","499.000","4776.000",
"29 Dec 2019","42.000","588.000","3720.000",
"22 Dec 2019","43.000","1128.000","5606.000",
"15 Dec 2019","49.000","1001.000","5760.000",
"08 Dec 2019","97.000","827.000","4658.000",
"01 Dec 2019","79.000","958.000","5231.000",
"24 Nov 2019","84.000","783.000","4411.000",
"17 Nov 2019","64.000","790.000","4127.000",
"10 Nov 2019","59.000","872.000","4400.000",
"03 Nov 2019","47.000","728.000","3926.000",
"27 Oct 2019","45.000","553.000","3822.000",
"20 Oct 2019","39.000","476.000","3686.000",
"13 Oct 2019","55.000","737.000","4143.000",
"06 Oct 2019","40.000","677.000","4112.000",
"29 Sep 2019","35.000","583.000","4228.000",
"22 Sep 2019","53.000","669.000","3766.000",
"15 Sep 2019","46.000","560.000","3408.000",
"08 Sep 2019","28.000","455.000","2960.000",
"01 Sep 2019","48.000","444.000","3322.000",
"25 Aug 2019","32.000","583.000","3370.000",
"18 Aug 2019","41.000","554.000","2900.000",
"11 Aug 2019","28.000","391.000","3130.000",
"04 Aug 2019","22.000","426.000","3122.000",
"28 Jul 2019","21.000","444.000","3340.000",
"21 Jul 2019","14.000","363.000","2752.000",
"14 Jul 2019","5.000","240.000","2475.000",
"07 Jul 2019","21.000","356.000","2721.000",
"30 Jun 2019","27.000","539.000","3424.000",
"23 Jun 2019","18.000","406.000","3016.000",
"16 Jun 2019","53.000","685.000","2921.000",
"09 Jun 2019","40.000","695.000","3490.000",
"02 Jun 2019","50.000","563.000","3120.000",
"26 May 2019","26.000","460.000","2861.000",
"19 May 2019","40.000","686.000","3509.000",
"12 May 2019","68.000","568.000","3022.000",
"05 May 2019","61.000","530.000","3338.000",
"28 Apr 2019","66.000","604.000","3725.000",
"21 Apr 2019","36.000","566.000","3335.000",
"14 Apr 2019","30.000","491.000","2719.000",
"07 Apr 2019","65.000","703.000","3028.000",
"31 Mar 2019","78.000","661.000","2662.000",
"24 Mar 2019","79.000","612.000","2756.000",
"17 Mar 2019","90.000","678.000","2926.000",
"10 Mar 2019","85.000","504.000","2579.000",
"03 Mar 2019","68.000","403.000","2439.000",
"24 Feb 2019","71.000","562.000","3077.000",
"17 Feb 2019","68.000","860.000","3731.000",
"10 Feb 2019","87.000","778.000","3689.000",
"03 Feb 2019","105.000","699.000","3166.000",
"27 Jan 2019","91.000","580.000","3078.000",
"20 Jan 2019","69.000","509.000","2867.000",
"13 Jan 2019","44.000","567.000","3705.000",
"06 Jan 2019","35.000","588.000","3531.000",
"30 Dec 2018","47.000","510.000","2679.000",
"23 Dec 2018","61.000","701.000","2975.000",
"16 Dec 2018","59.000","570.000","3157.000",
"09 Dec 2018","141.000","748.000","3442.000",
"02 Dec 2018","88.000","561.000","3083.000",
"25 Nov 2018","94.000","503.000","2231.000",
"18 Nov 2018","90.000","524.000","2881.000",
"11 Nov 2018","78.000","613.000","2895.000",
"04 Nov 2018","27.000","327.000","2368.000",
"28 Oct 2018","31.000","351.000","2000.000",
"21 Oct 2018","19.000","298.000","1890.000",
"14 Oct 2018","46.000","652.000","2572.000",
"07 Oct 2018","61.000","774.000","2793.000",
"30 Sep 2018","70.000","677.000","2656.000",
"23 Sep 2018","29.000","863.000","3065.000",
"16 Sep 2018","37.000","833.000","2721.000",
"09 Sep 2018","45.000","750.000","2876.000",
"02 Sep 2018","43.000","601.000","2612.000",
"26 Aug 2018","39.000","823.000","2608.000",
"19 Aug 2018","24.000","696.000","2490.000",
"12 Aug 2018","29.000","794.000","2531.000",
"05 Aug 2018","21.000","642.000","2236.000",
"29 Jul 2018","6.000","712.000","2174.000",
"22 Jul 2018","17.000","650.000","2206.000",
"15 Jul 2018","22.000","553.000","1980.000",
"08 Jul 2018","21.000","709.000","2304.000",
"01 Jul 2018","36.000","767.000","2599.000",
"24 Jun 2018","51.000","757.000","2129.000",
"17 Jun 2018","20.000","587.000","2116.000",
"10 Jun 2018","51.000","614.000","2410.000",
"03 Jun 2018","30.000","651.000","2694.000",
"27 May 2018","28.000","658.000","2165.000",
"20 May 2018","27.000","523.000","2010.000",
"13 May 2018","43.000","835.000","2578.000",
"06 May 2018","41.000","709.000","2234.000",
"29 Apr 2018","45.000","750.000","2471.000",
"22 Apr 2018","40.000","910.000","3442.000",
"15 Apr 2018","28.000","657.000","3171.000",
"08 Apr 2018","25.000","641.000","3119.000",
"01 Apr 2018","65.000","987.000","3457.000",
"25 Mar 2018","58.000","1185.000","3134.000",
"18 Mar 2018","32.000","1093.000","3520.000",
"11 Mar 2018","35.000","1015.000","4309.000",
"04 Mar 2018","41.000","732.000","2507.000",
"25 Feb 2018","22.000","891.000","3144.000",
"18 Feb 2018","29.000","742.000","2740.000",
"11 Feb 2018","57.000","796.000","2682.000",
"04 Feb 2018","37.000","570.000","2346.000",
"28 Jan 2018","22.000","721.000","2529.000",
"21 Jan 2018","19.000","745.000","3062.000",
"14 Jan 2018","28.000","676.000","3252.000",
"07 Jan 2018","16.000","1095.000","5614.000",
"31 Dec 2017","51.000","1013.000","5667.000",
"24 Dec 2017","49.000","1033.000","4500.000",
"17 Dec 2017","28.000","1551.000","5480.000",
"10 Dec 2017","54.000","985.000","3318.000",
"03 Dec 2017","65.000","744.000","2658.000",
"26 Nov 2017","49.000","417.000","2026.000",
"19 Nov 2017","35.000","405.000","1890.000",
"12 Nov 2017","34.000","485.000","1766.000",
"05 Nov 2017","22.000","296.000","1454.000",
"29 Oct 2017","17.000","174.000","1499.000",
"22 Oct 2017","16.000","198.000","1463.000",
"15 Oct 2017","32.000","324.000","1957.000",
"08 Oct 2017","18.000","299.000","1675.000",
"01 Oct 2017","11.000","167.000","1940.000",
"24 Sep 2017","18.000","208.000","2143.000",
"17 Sep 2017","28.000","265.000","2041.000",
"10 Sep 2017","12.000","244.000","2111.000",
"03 Sep 2017","20.000","169.000","1744.000",
"27 Aug 2017","29.000","213.000","1543.000",
"20 Aug 2017","9.000","233.000","1538.000",
"13 Aug 2017","23.000","229.000","1496.000",
"06 Aug 2017","11.000","196.000","1482.000",
"30 Jul 2017","8.000","111.000","1198.000",
"23 Jul 2017","12.000","109.000","1169.000",
"16 Jul 2017","6.000","131.000","1198.000",
"09 Jul 2017","4.000","161.000","1376.000",
"02 Jul 2017","10.000","159.000","1236.000",
"25 Jun 2017","18.000","143.000","1512.000",
"18 Jun 2017","20.000","149.000","1555.000",
"11 Jun 2017","18.000","135.000","1203.000",
"04 Jun 2017","16.000","115.000","1633.000",
"28 May 2017","21.000","246.000","1988.000",
