"Date","BoardValue","NationalValue",
"31 Mar 2021","22682.200","152395.900",
"31 Dec 2020","22163.400","148636.700",
"30 Sep 2020","21615.200","146630.900",
"30 Jun 2020","N/A","N/A",
"31 Mar 2020","21416.200","143440.600",
"31 Dec 2019","21189.400","142471.400",
"30 Sep 2019","20968.500","141425.200",
"31 Mar 2019","20939.730","140881.230",
"31 Dec 2018","20859.000","140710.000",
"30 Sep 2018","20685.000","139765.000",
"30 Jun 2018","20596.690","139095.160",
"31 Mar 2018","20701.600","139918.400",
"31 Dec 2017","20656.400","140261.900",
"30 Sep 2017","20457.800","139492.096",
"30 Jun 2017","20437.700","138931.400",
"31 Mar 2017","20251.800","139430.870",
"31 Dec 2016","20085.300","139262.000",
"30 Sep 2016","19999.000","138651.200",
"30 Jun 2016","19943.008","138125.440",
"31 Mar 2016","19968.700","138458.200",
"31 Dec 2015","19909.100","138310.000",
"30 Sep 2015","19755.200","137727.900",
"30 Jun 2015","19817.000","137420.700",
"31 Mar 2015","19957.700","137603.500",
"31 Dec 2014","19924.200","137511.900",
"30 Sep 2014","19746.200","136684.700",
"30 Jun 2014","19533.600","135880.700",
"31 Mar 2014","19356.600","135625.700",
