"Date","BoardValue","NationalValue",
"31 Mar 2021","27.500","31.000",
"31 Dec 2020","26.000","N/A",
"30 Sep 2020","27.000","N/A",
"30 Jun 2020","20.000","N/A",
"31 Mar 2020","28.000","N/A",
"31 Dec 2019","27.000","43.000",
"30 Sep 2019","25.000","42.000",
"30 Jun 2019","32.000","41.000",
"31 Mar 2019","42.000","42.000",
"31 Dec 2018","31.000","40.000",
"30 Sep 2018","35.000","N/A",
"30 Jun 2018","26.000","N/A",
"31 Mar 2018","34.000","N/A",
"31 Dec 2017","35.000","N/A",
"30 Sep 2017","40.000","N/A",
"30 Jun 2017","27.000","N/A",
"31 Mar 2017","27.000","45.000",
"31 Dec 2016","33.000","44.000",
"30 Sep 2016","33.000","45.000",
"30 Jun 2016","31.000","41.000",
"31 Mar 2016","35.000","42.000",
"31 Dec 2015","30.000","46.000",
"30 Sep 2015","28.000","45.000",
"30 Jun 2015","28.000","42.000",
"31 Mar 2015","34.000","44.000",
"31 Dec 2014","31.000","42.000",
"30 Sep 2014","32.000","44.000",
"30 Jun 2014","34.000","42.000",
"31 Mar 2014","30.000","42.000",
