"Date","HospitalValue","BoardValue","NationalValue",
"01 Dec 2020","60.355","2157.258","12985.290",
"01 Nov 2020","63.533","2152.533","13034.200",
"01 Oct 2020","64.355","2147.613","12923.129",
"01 Sep 2020","65.367","2134.667","12788.100",
"01 Aug 2020","62.677","2100.968","12638.323",
"01 Jul 2020","64.161","2152.258","12423.516",
"01 Jun 2020","61.067","2084.933","12604.567",
"01 May 2020","58.968","2082.097","12591.645",
"01 Apr 2020","53.800","2085.867","12813.100",
"01 Mar 2020","58.935","2091.871","13434.613",
"01 Feb 2020","61.759","2107.862","13411.414",
"01 Jan 2020","64.484","2116.161","13554.742",
"01 Dec 2019","61.742","2103.774","13248.387",
"01 Nov 2019","68.867","2096.600","13175.100",
"01 Oct 2019","62.581","2073.194","13157.194",
"01 Sep 2019","63.667","2064.600","13081.100",
"01 Aug 2019","64.258","2062.258","12972.097",
"01 Jul 2019","60.935","2063.806","12995.000",
"01 Jun 2019","64.567","2067.800","12991.667",
"01 May 2019","59.516","2062.032","12994.581",
"01 Apr 2019","65.467","2055.467","12968.700",
"01 Mar 2019","62.161","2056.000","13169.065",
"01 Feb 2019","61.893","2072.893","13315.143",
"01 Jan 2019","63.129","2071.871","13322.355",
"01 Dec 2018","60.065","2021.871","13026.129",
"01 Nov 2018","60.200","2051.100","12988.267",
"01 Oct 2018","59.290","2057.290","12946.097",
"01 Sep 2018","58.900","2036.300","12949.133",
"01 Aug 2018","64.323","2043.935","12874.645",
"01 Jul 2018","64.645","2045.935","12878.226",
"01 Jun 2018","61.900","2033.467","13188.367",
"01 May 2018","59.839","2067.387","13107.323",
"01 Apr 2018","61.800","2096.400","13355.433",
"01 Mar 2018","60.581","2097.645","13538.387",
"01 Feb 2018","61.821","2075.964","13577.214",
"01 Jan 2018","61.290","2062.290","13677.065",
"01 Dec 2017","58.710","2041.129","13415.548",
"01 Nov 2017","57.233","2032.700","13388.933",
"01 Oct 2017","61.484","2033.774","13265.484",
"01 Sep 2017","63.567","2035.233","13235.367",
"01 Aug 2017","62.387","2075.323","13277.806",
"01 Jul 2017","59.742","2078.097","13283.226",
"01 Jun 2017","67.267","2090.200","13415.733",
"01 May 2017","68.226","2121.677","13565.000",
"01 Apr 2017","65.700","2163.900","13512.433",
"01 Mar 2017","60.161","2192.161","13691.226",
"01 Feb 2017","59.714","2164.214","13755.643",
"01 Jan 2017","60.419","2165.677","13790.452",
"01 Dec 2016","60.710","2146.742","13568.161",
"01 Nov 2016","57.767","2156.833","13591.833",
"01 Oct 2016","62.968","2165.226","13554.935",
"01 Sep 2016","60.700","2147.333","13553.033",
"01 Aug 2016","64.161","2146.097","13565.065",
"01 Jul 2016","63.226","2128.548","13511.613",
"01 Jun 2016","64.433","2141.800","13669.367",
"01 May 2016","65.355","2154.935","13734.452",
"01 Apr 2016","58.733","2153.000","13750.667",
"01 Mar 2016","63.742","2215.129","13886.968",
"01 Feb 2016","63.345","2234.862","13992.621",
"01 Jan 2016","60.871","2217.355","13905.355",
"01 Dec 2015","51.581","2156.581","13647.710",
"01 Nov 2015","55.700","2161.367","13696.633",
"01 Oct 2015","59.516","2177.387","13693.032",
"01 Sep 2015","62.400","2179.733","13684.767",
"01 Aug 2015","62.258","2165.968","13689.903",
"01 Jul 2015","63.387","2166.806","13799.710",
"01 Jun 2015","61.467","2157.700","13886.633",
"01 May 2015","63.484","2168.871","14021.677",
"01 Apr 2015","64.233","2223.067","14172.467",
"01 Mar 2015","64.613","2257.000","14208.710",
"01 Feb 2015","65.750","2270.571","14375.643",
"01 Jan 2015","60.677","2287.839","14315.710",
"01 Dec 2014","53.290","2238.613","14093.516",
"01 Nov 2014","58.367","2234.767","14084.833",
"01 Oct 2014","59.032","2233.097","14020.806",
"01 Sep 2014","55.867","2200.600","14014.867",
"01 Aug 2014","60.968","2213.258","13925.323",
"01 Jul 2014","60.129","2215.677","13917.387",
