"Date","BoardValue","NationalValue",
"31 Mar 2022","1042.200","5735.100",
"31 Dec 2021","1038.500","5707.000",
"30 Sep 2021","1037.200","5707.200",
"30 Jun 2021","1009.620","5639.590",
"31 Dec 2020","1000.200","5604.200",
"30 Sep 2020","996.000","5587.400",
"30 Jun 2020","963.500","5527.000",
"31 Mar 2020","949.300","5488.700",
"31 Dec 2019","923.800","5392.200",
"30 Sep 2019","920.600","5382.000",
"31 Mar 2019","922.650","5349.080",
"31 Dec 2018","926.000","5375.000",
"30 Sep 2018","919.000","5358.000",
"30 Jun 2018","899.003","5261.361",
"31 Mar 2018","879.700","5237.700",
"31 Dec 2017","881.800","5213.800",
"30 Sep 2017","877.050","5189.758",
"30 Jun 2017","875.100","5139.500",
"31 Mar 2017","878.300","5189.200",
"31 Dec 2016","863.500","5170.300",
"30 Sep 2016","864.501","5174.505",
"30 Jun 2016","816.800","5077.000",
"31 Mar 2016","855.100","5115.600",
"31 Dec 2015","848.700","5082.100",
"30 Sep 2015","840.400","5026.700",
"30 Jun 2015","833.000","4943.000",
"31 Mar 2015","834.300","4918.400",
"31 Dec 2014","839.300","4900.600",
"30 Sep 2014","843.200","4890.700",
"30 Jun 2014","749.900","4690.300",
"31 Mar 2014","749.300","4693.600",
