HospitalID,NHS Board,Location Code,Location Name,Number of attendances,Percentage seen within 4 hours,Number waiting over 4 hours,Number waiting over 8 hours,Number waiting over 12 hours,Percentage of attendances resulting in hospital admission,Standardised Mortality Ratio (SMR),Percentage change in SMR (compared with January – March 2014),Total number of delayed discharges at the census,Number of delayed discharges over 3 days (health and social care & patient and family related reasons),Bed days occupied by delayed discharge patients,Percentage of planned operations cancelled,Percentage of planned operations cancelled for non-clinical reasons,Average number of days waited (Outpatients),Number of days within which 90% of patients are seen,Average number of days waited (Inpatients),Number of days within which 90% of patients are admitted,Percentage seen within 18 weeks,Average number of available staffed beds,Average number of days waited from receipt of an urgent referral with suspicion of cancer to first cancer treatment (62 day standard),Number of days within which 95% of patients are treated (from receipt of an urgent referral),Percentage waiting within 6 weeks,Number of NHS Scotland staff (whole time equivalent),Number of consultants (wte),Number of nursing and midwifery staff (wte)
43,Ayrshire & Arran,A111H,University Hospital Crosshouse,1343,0.825,235,93,42,0.283,0.789,-0.164,74,23,2414,0.046,0,37,252,30,318.4,0.681,489.613,49,102,0.477,9262,279.9,4439.9
42,Ayrshire & Arran,A210H,University Hospital Ayr,659,0.774,149,38,6,0.31,0.779,-0.187,74,23,2414,0.079,0.017,37,252,30,318.4,0.681,313.613,49,102,0.477,9262,279.9,4439.9
9,Borders,B120H,Borders General Hospital,594,0.756,145,34,25,0.332,0.86,-0.009,38,22,1067,0.035,0.014,28,205.9,35,366.2,0.744,204.452,47,61,0.547,2719.6,93.4,1175.3
13,Dumfries & Galloway,Y104H,Dumfries & Galloway Royal Infirmary Old,662,0.763,157,26,0,0.298,0.821,-0.228,31,20,966,0.066,0.013,28,207,33,160,0.731,269.355,45,102,0.9,3845.8,119.9,1844.1
16,Dumfries & Galloway,Y144H,Galloway Community Hospital,263,0.932,18,4,1,0.068,0.907,-0.2,31,20,966,0.063,0,28,207,33,160,0.731,25.419,45,102,0.9,3845.8,119.9,1844.1
44,Fife,F704H,Victoria Hospital,1302,0.849,197,5,1,0.321,0.858,-0.098,118,47,3466,0.059,0.022,24,188,41,136.6,0.724,536.613,40,102,0.807,7965.9,264.7,3876
63,Fife,F805H,Queen Margaret Hospital,1302,0.849,197,5,1,0.003,0.859,-0.099,118,47,3466,0.051,0.014,24,188,41,136.6,0.724,88.613,40,102,0.807,7965.9,264.7,3876
72,Forth Valley,V102H,Falkirk Community Hospital,1322,0.715,377,18,2,0.245,0.876,-0.189,67,31,2020,0.031,0,28,238,51,363,0.683,69,42,90,0.878,5784.5,244.6,2957.8
15,Forth Valley,V217H,Forth Valley Royal Hospital,1322,0.715,377,18,2,0.323,0.876,-0.189,67,31,2020,0.055,0.001,28,238,51,363,0.683,563.71,42,90,0.878,5784.5,244.6,2957.8
3,Grampian,N101H,Aberdeen Royal Infirmary,1009,0.792,210,22,5,0.31,0.874,-0.049,60,33,1598,0.098,0.02,35,202,44,364,0,670.323,48,97,0.489,13636.3,549.3,5900.4
