HospitalID,IndicatorID,Date,HospitalValue,BoardValue
43,1,20 Jun 2021,1343,2002
43,2,20 Jun 2021,0.825,0.808
43,3,20 Jun 2021,235,384
43,4,20 Jun 2021,93,131
43,5,20 Jun 2021,42,48
43,6,31 May 2021,5524,8783
43,7,31 May 2021,0.857,0.867
43,10,31 May 2021,792,1165
43,12,31 May 2021,224,300
43,13,31 May 2021,100,127
43,14,31 May 2021,0.283,0.28
43,15,01 Oct 2018,0.789,0.792
43,16,01 Oct 2018,-0.164,-0.172
43,25,29 Apr 2021,NA,74
43,26,29 Apr 2021,NA,23
43,27,01 Apr 2021,NA,2414
43,28,01 Apr 2021,0.046,0.069
43,29,01 Apr 2021,0,0.012
43,30,31 Mar 2021,NA,37
43,31,31 Mar 2021,NA,252
43,32,31 Mar 2021,NA,30
43,33,31 Mar 2021,NA,318.4
43,34,01 Mar 2021,NA,0.681
43,39,01 Dec 2020,489.613,958.484
43,18,31 Mar 2021,NA,49
43,19,31 Mar 2021,NA,102
43,35,31 Mar 2021,NA,0.477
43,36,31 Mar 2021,NA,9262
43,37,31 Mar 2021,NA,279.9
43,38,31 Mar 2021,NA,4439.9
42,1,20 Jun 2021,659,2002
42,2,20 Jun 2021,0.774,0.808
42,3,20 Jun 2021,149,384
42,4,20 Jun 2021,38,131
42,5,20 Jun 2021,6,48
42,6,31 May 2021,2885,8783
42,7,31 May 2021,0.874,0.867
42,10,31 May 2021,364,1165
42,12,31 May 2021,76,300
42,13,31 May 2021,27,127
42,14,31 May 2021,0.31,0.28
42,15,01 Oct 2018,0.779,0.792
42,16,01 Oct 2018,-0.187,-0.172
42,25,29 Apr 2021,NA,74
42,26,29 Apr 2021,NA,23
42,27,01 Apr 2021,NA,2414
42,28,01 Apr 2021,0.079,0.069
42,29,01 Apr 2021,0.017,0.012
42,30,31 Mar 2021,NA,37
42,31,31 Mar 2021,NA,252
42,32,31 Mar 2021,NA,30
42,33,31 Mar 2021,NA,318.4
42,34,01 Mar 2021,NA,0.681
