"Date","HospitalValue","BoardValue","NationalValue",
"01 Apr 2021","0.046","0.069","0.061",
"01 Mar 2021","0.074","0.075","0.063",
"01 Feb 2021","0.000","0.056","0.071",
"01 Jan 2021","0.018","0.042","0.082",
"01 Dec 2020","0.085","0.080","0.075",
"01 Nov 2020","0.091","0.081","0.074",
"01 Oct 2020","0.074","0.098","0.076",
"01 Sep 2020","0.088","0.076","0.066",
"01 Aug 2020","0.043","0.061","0.071",
"01 Jul 2020","0.101","0.091","0.062",
"01 Jun 2020","0.042","0.042","0.067",
"01 May 2020","0.091","0.092","0.075",
"01 Apr 2020","0.087","0.161","0.134",
"01 Mar 2020","0.292","0.213","0.150",
"01 Feb 2020","0.123","0.123","0.090",
"01 Jan 2020","0.190","0.153","0.095",
"01 Dec 2019","0.205","0.169","0.101",
"01 Nov 2019","0.113","0.120","0.091",
"01 Oct 2019","0.111","0.117","0.085",
"01 Sep 2019","0.113","0.109","0.087",
"01 Aug 2019","0.104","0.109","0.084",
"01 Jul 2019","0.100","0.115","0.087",
"01 Jun 2019","0.111","0.112","0.087",
"01 May 2019","0.098","0.105","0.083",
"01 Apr 2019","0.079","0.092","0.085",
"01 Mar 2019","0.107","0.110","0.084",
"01 Feb 2019","0.070","0.104","0.088",
"01 Jan 2019","0.104","0.138","0.095",
"01 Dec 2018","0.096","0.102","0.091",
"01 Nov 2018","0.091","0.105","0.098",
"01 Oct 2018","0.090","0.105","0.085",
"01 Sep 2018","0.107","0.102","0.086",
"01 Aug 2018","0.088","0.100","0.086",
"01 Jul 2018","0.095","0.096","0.092",
"30 Jun 2018","0.088","0.088","0.081",
"31 May 2018","0.071","0.088","0.080",
"30 Apr 2018","0.096","0.099","0.090",
"31 Mar 2018","0.097","0.101","0.126",
"28 Feb 2018","0.136","0.129","0.103",
"31 Jan 2018","0.108","0.109","0.123",
"31 Dec 2017","0.047","0.093","0.108",
"30 Nov 2017","0.072","0.088","0.088",
"31 Oct 2017","0.063","0.079","0.085",
"30 Sep 2017","0.101","0.101","0.092",
"31 Aug 2017","0.075","0.095","0.084",
"31 Jul 2017","0.092","0.092","0.082",
"30 Jun 2017","0.072","0.087","0.088",
"31 May 2017","0.108","0.118","0.088",
"30 Apr 2017","0.100","0.110","0.094",
"31 Mar 2017","0.066","0.091","0.091",
"28 Feb 2017","0.098","0.111","0.093",
"31 Jan 2017","0.084","0.087","0.098",
"31 Dec 2016","0.073","0.092","0.101",
"30 Nov 2016","0.080","0.097","0.090",
"31 Oct 2016","0.076","0.099","0.093",
"30 Sep 2016","0.099","0.108","0.093",
"31 Aug 2016","0.072","0.087","0.092",
"31 Jul 2016","0.087","0.099","0.089",
"30 Jun 2016","0.081","0.093","0.095",
"31 May 2016","0.063","0.087","0.092",
"30 Apr 2016","0.065","0.092","0.094",
"31 Mar 2016","0.079","0.100","0.101",
"29 Feb 2016","0.085","0.112","0.103",
"31 Jan 2016","0.080","0.090","0.111",
"31 Dec 2015","0.091","0.112","0.098",
"30 Nov 2015","0.085","0.104","0.096",
"31 Oct 2015","0.080","0.105","0.097",
"30 Sep 2015","0.079","0.099","0.091",
"31 Aug 2015","0.084","0.100","0.091",
"31 Jul 2015","0.076","0.100","0.095",
"30 Jun 2015","0.089","0.102","0.090",
"31 May 2015","0.076","0.096","0.094",
