"Date","BoardValue","NationalValue",
"31 Mar 2021","212.600","335.900",
"31 Dec 2020","233.000","312.100",
"30 Sep 2020","195.000","254.000",
"30 Jun 2020","62.000","121.600",
"31 Mar 2020","79.000","173.000",
"31 Dec 2019","73.400","175.000",
"30 Sep 2019","79.000","171.000",
"30 Jun 2019","77.000","165.000",
"31 Mar 2019","77.000","174.000",
"31 Dec 2018","70.000","162.000",
"30 Sep 2018","77.000","160.000",
"30 Jun 2018","73.000","N/A",
"31 Mar 2018","77.000","N/A",
"31 Dec 2017","78.000","N/A",
"30 Sep 2017","70.000","N/A",
"30 Jun 2017","78.000","N/A",
"31 Mar 2017","74.000","113.000",
"31 Dec 2016","72.000","98.000",
"30 Sep 2016","71.000","88.000",
"30 Jun 2016","77.000","84.000",
"31 Mar 2016","80.000","83.000",
"31 Dec 2015","77.300","80.000",
"30 Sep 2015","79.000","80.000",
"30 Jun 2015","76.000","80.000",
"31 Mar 2015","78.000","81.000",
"31 Dec 2014","75.000","77.000",
"30 Jun 2014","64.000","76.000",
"31 Mar 2014","77.000","76.000",
