"Date","BoardValue","NationalValue",
"31 Mar 2021","96.000","97.000",
"31 Dec 2020","85.000","93.000",
"30 Sep 2020","101.000","105.000",
"30 Jun 2020","103.000","104.000",
"31 Mar 2020","100.000","96.000",
"31 Dec 2019","110.000","103.000",
"30 Sep 2019","126.000","104.000",
"30 Jun 2019","150.000","104.000",
"31 Mar 2019","139.000","111.000",
"31 Dec 2018","115.000","105.000",
"30 Sep 2018","104.000","101.000",
"30 Jun 2018","78.000","75.000",
"31 Mar 2018","69.000","74.000",
"31 Dec 2017","62.000","69.000",
"01 Jul 2017","68.000","69.000",
"01 Apr 2017","65.000","70.000",
"01 Jan 2017","62.000","68.000",
"01 Oct 2016","73.400","67.000",
"01 Jul 2016","68.200","69.000",
"01 Apr 2016","60.000","63.000",
"01 Jan 2016","61.000","62.000",
"01 Oct 2015","60.000","62.000",
"01 Jul 2015","60.000","62.000",
"01 Apr 2015","61.000","61.900",
"01 Jan 2015","57.000","61.000",
"01 Oct 2014","57.000","60.000",
"01 Jul 2014","59.500","61.000",
